step,query_step,query_position,query,token,shift,revisit,threshold,active,event,top1_probability,top2_margin,logit_entropy
0,-1,433,"

",Based,,,,0,0,0.39813533,0.0,1.7358274
1,0,434,Based, on,28.387627864198016,,,0,0,0.99993134,10.0,0.0011402534
2,1,435, on, the,20.803481589526335,0.16535864124191746,,0,0,0.9980049,6.75,0.023755863
3,2,436, the, given,25.615870963782207,0.7530271346025104,0.16535864124191746,0,0,0.6804635,1.375,1.2946914
4,3,437, given, passages,26.78540265411931,0.8041512794092969,0.7236437099344807,0,0,0.99991995,10.25,0.0013484594
5,4,438, passages,",",40.124759040045234,1.90845400206632,0.7990388649286182,0,0,0.9924621,5.125,0.07255662
6,5,439,",", here,48.08356918001043,3.102381839252715,1.7428085936677662,0,0,0.47413665,0.25,1.7171981
7,6,440, here,'s,44.25710691421986,1.429139554160391,2.8635962718154357,0,0,0.49809507,0.625,1.5006737
8,7,441,'s, a,21.28011521984945,0.37410609113650384,2.8038998799561163,0,0,0.8208661,2.375,0.98249936
9,8,442, a, brief,30.402636910795934,1.267753131892904,2.7442034880967956,0,0,0.9937957,5.375,0.06415086
10,9,443, brief, answer,25.10290714508883,0.7072349074403802,2.684507096237476,0,0,0.8329027,1.875,0.8328497
11,10,444, answer, about,25.8239193313011,0.5669022192416284,2.624810704378157,0,0,0.7565822,1.875,1.1771569
12,11,445, about, In,65.48284038550611,4.619018582605225,2.565114312518836,0,0,0.9991763,7.875,0.01081366
13,12,446, In,ca,47.52007221103041,2.8750345169358624,3.86070021092897,0,0,0.9999809,10.875,0.00032810884
14,13,447,ca, clothes,29.93676931703076,1.3719974180442633,3.7848683737613436,0,0,0.98581934,4.25,0.10858732
15,14,448, clothes,":

",38.56002089435823,2.4232925776491956,3.709036536593717,0,0,0.9778248,4.125,0.17991222
16,15,449,":

",In,53.68326506689165,4.858851666216989,3.633204699426093,0,0,0.6227953,1.125,1.8168126
17,16,450,In,ca,43.86820720779548,2.8991667196405735,4.690968507688754,0,0,0.9957233,5.5,0.04162718
18,17,451,ca, clothing,31.545651912757968,2.080862091741338,4.678976853508166,0,0,0.4821979,0.375,1.6260774
19,18,452, clothing, consisted,30.90288818599288,2.3776113263880516,4.678976853508166,0,0,0.4030544,0.375,2.1917312
20,19,453, consisted, of,27.847127989353453,1.5765856544827055,4.678976853508166,0,0,0.97658914,3.75,0.16392764
21,20,454, of, woven,28.59146728823194,1.7333841956354623,4.678976853508166,0,0,0.9107362,2.875,0.62362784
22,21,455, woven, or,36.29570211058388,4.167405953222751,4.678976853508166,0,0,0.99631804,6.0,0.03890588
23,22,456, or, kn,26.828947182182887,1.9860140095142036,4.678976853508166,0,0,0.9999504,10.0,0.00079120375
24,23,457, kn,itted,37.405753805552266,4.0550678762622905,4.678976853508166,0,0,1.0,16.0,7.802416e-06
25,24,458,itted, textiles,38.48032033761715,4.394925239559491,4.678976853508166,0,0,0.9998302,9.625,0.0028466843
26,25,459, textiles,",",25.041263310266892,1.6599685172761978,4.678976853508166,0,0,0.7377166,1.75,1.3084809
27,26,460,",", which,24.412173191019193,2.155670134596486,4.678976853508166,0,0,0.37186888,0.25,2.6632707
28,27,461, which, were,28.28152513103177,3.3925725360297836,4.678976853508166,0,0,0.99350375,5.625,0.0713535
29,28,462, were, worn,19.864798378551377,0.9633239797576518,4.5109068462238655,0,0,0.55977136,1.25,2.2236245
30,29,463, worn, whole,23.962895917651494,1.564328892292778,4.5109068462238655,0,0,0.99984556,9.75,0.002588403
31,30,464, whole, and,23.269300513040193,0.9944922496918418,4.5109068462238655,0,0,0.88172126,2.375,0.645999
32,31,465, and, held,25.45986062847747,1.9752251352625996,4.5109068462238655,0,0,0.97684056,3.875,0.18001992
33,32,466, held, together,23.73238003492168,1.5596853747444945,4.224285774806936,0,0,0.9999809,11.0,0.0003479409
34,33,467, together, by,17.26958461160238,0.7764253817626351,4.224285774806936,0,0,0.9626706,3.25,0.22993274
35,34,468, by, metal,24.810306957238424,2.1014689815497087,4.224285774806936,0,0,0.6512985,0.625,0.93416995
36,35,469, metal, pins,26.21389639058838,2.246928563840498,4.224285774806936,0,0,1.0,14.5,1.4845871e-05
37,36,470, pins,.,32.66333969136093,4.207896164234962,4.224285774806936,0,0,0.9985095,6.75,0.017816808
38,37,471,., They,37.66021276597939,6.036271409025929,4.254653433066094,1,1,0.45436057,1.125,2.7994924
39,38,472, They, wore,26.860869126077866,3.010586087586708,4.8052617819261005,0,0,0.8787378,3.0,0.9098713
40,39,473, wore, simple,22.605835407510593,2.0206889968381763,4.8052617819261005,0,0,0.6281997,0.625,1.2548947
41,40,474, simple, tun,27.389896874367615,3.744490130571828,4.8052617819261005,0,0,0.9896909,5.0,0.105700195
42,41,475, tun,ics,27.45387019403708,2.0292365204950227,4.664989975432704,0,0,1.0,17.625,2.3858788e-06
43,42,476,ics, (,24.756438237053544,2.0471997592277478,4.664989975432704,0,0,0.57809806,1.0,1.6442434
44,43,477, (,men,23.123004523503244,1.3794703212224482,4.664989975432704,0,0,0.9016464,3.0,0.7058601
45,44,478,men,),25.061200702846314,1.6924710970192018,4.664989975432704,0,0,0.97652954,4.0,0.18244593
46,45,479,), and,19.147271988169948,1.1223793282535117,4.664989975432704,0,0,0.9700655,3.5,0.19959605
47,46,480, and, full,24.534825494139536,2.229385923546757,4.664989975432704,0,0,0.9425072,2.875,0.3431006
48,47,481, full,-length,25.73381714199473,2.2789544618369315,4.664989975432704,0,0,0.9989457,7.0,0.012886254
49,48,482,-length, skirts,15.327008327831026,0.7238626495129237,4.664989975432704,0,0,0.9992526,8.0,0.010745498
50,49,483, skirts, (,20.12364934948566,1.2002542314864422,4.664989975432704,0,0,0.9988219,7.25,0.014855516
51,50,484, (,women,26.009336464912785,2.1986699351199506,4.664989975432704,0,0,0.99997705,12.0,0.00045105637
52,51,485,women,).,25.228912663984993,2.024579027477529,4.664989975432704,0,0,0.60938555,0.625,1.2198511
53,52,486,)., Nob,37.872383707772414,5.439124906545997,4.664989975432704,1,1,0.5013874,0.875,3.0133915
54,53,487, Nob,les,47.33653703196352,5.765053636037073,5.5884115321659795,1,0,0.9946888,5.25,0.04877361
55,54,488,les, wore,22.858045086265058,1.4977468467932684,5.520607088918766,0,0,0.9005396,2.875,0.61486953
56,55,489, wore, better,24.39830614295516,2.2681499918698114,5.520607088918766,0,0,0.54692215,0.875,1.6204658
57,56,490, better, quality,22.084335579391006,1.4493282674254315,5.520607088918766,0,0,0.62238556,0.5,0.95818174
58,57,491, quality, clothing,18.388219475779202,1.7850737882159293,5.520607088918766,0,0,0.46809286,0.125,1.6728925
59,58,492, clothing,",",24.416551500459896,3.131522147318857,5.520607088918766,0,0,0.5377942,0.5,1.6279582
60,59,493,",", often,20.96904984480455,2.2574408087648625,5.520607088918766,0,0,0.35879248,0.625,2.6799781
61,60,494, often, with,40.55411504071534,9.476725193229242,5.520607088918766,1,1,0.76137096,2.0,1.4654765
62,61,495, with, gold,21.637509682266952,2.259391995707186,6.692971525335115,0,0,0.8142901,2.125,1.2491204
63,62,496, gold, and,36.718320990371915,5.345905098086957,6.692971525335115,0,0,0.84527385,1.75,0.6814472
64,63,497, and, silver,25.471714209512704,2.5635320254038603,6.692971525335115,0,0,0.90318865,2.375,0.5277704
65,64,498, silver, thread,31.543538052725566,4.473565076287283,6.692971525335115,0,0,0.5751802,0.375,1.2071707
66,65,499, thread, embroidery,21.142811514416298,1.7801318838656321,6.692971525335115,0,0,0.91015273,2.625,0.5804748
67,66,500, embroidery,.,27.594288548767175,3.0772521698728728,6.692971525335115,0,0,0.56143624,0.625,1.4523153
68,67,501,., The,50.02211537419791,9.774980306890125,6.692971525335115,1,1,0.38180807,0.125,2.7575653
