step,query_position,layer,head,key_position,key_token,distance,attention,gain
34,467,0,0,465, and,2,0.23046875,0.126953125
34,467,0,0,466, held,1,0.1494140625,0.1231689453125
34,467,0,1,466, held,1,0.15234375,0.10693359375
34,467,0,1,449,":

",18,0.130859375,-0.02734375
34,467,0,2,466, held,1,0.71875,0.6240234375
34,467,0,2,465, and,2,0.1455078125,-0.6240234375
34,467,0,3,460,",",7,0.134765625,0.02734375
34,467,0,3,449,":

",18,0.05859375,-0.01611328125
34,467,0,4,465, and,2,0.1337890625,-0.021484375
34,467,0,4,460,",",7,0.0634765625,0.00634765625
34,467,0,5,465, and,2,0.11328125,-0.0390625
34,467,0,5,460,",",7,0.058837890625,0.004638671875
34,467,0,6,465, and,2,0.099609375,-0.0322265625
34,467,0,6,460,",",7,0.060302734375,0.00390625
34,467,0,7,465, and,2,0.150390625,0.0234375
34,467,0,7,460,",",7,0.058837890625,0.0224609375
34,467,0,8,450,In,17,0.05419921875,-0.002197265625
34,467,0,8,465, and,2,0.033935546875,0.01922607421875
34,467,0,9,465, and,2,0.051025390625,0.0257568359375
34,467,0,9,450,In,17,0.037353515625,0.00390625
34,467,0,10,465, and,2,0.09912109375,0.0
34,467,0,10,450,In,17,0.07275390625,0.00439453125
34,467,0,10,460,",",7,0.00982666015625,0.00762939453125
34,467,0,11,465, and,2,0.050537109375,0.0213623046875
34,467,0,11,445, about,22,0.0380859375,0.0167236328125
34,467,0,12,460,",",7,0.032958984375,0.002197265625
34,467,0,12,439,",",28,0.0260009765625,0.0020751953125
34,467,0,13,460,",",7,0.03564453125,0.0054931640625
34,467,0,13,439,",",28,0.026123046875,0.0018310546875
34,467,0,14,460,",",7,0.04248046875,-0.00390625
34,467,0,14,439,",",28,0.029296875,0.0028076171875
34,467,0,15,449,":

",18,0.060791015625,-0.020263671875
34,467,0,15,133," […]

",334,0.021728515625,-0.0054931640625
34,467,0,15,439,",",28,0.00360107421875,0.001220703125
34,467,0,16,460,",",7,0.0247802734375,-0.0003662109375
34,467,0,16,439,",",28,0.0206298828125,-0.002197265625
34,467,0,17,462, were,5,0.07763671875,0.02685546875
34,467,0,17,465, and,2,0.031494140625,-0.0068359375
34,467,0,18,360,",",107,0.0179443359375,-0.0064697265625
34,467,0,18,460,",",7,0.016357421875,-0.0032958984375
34,467,0,18,449,":

",18,0.000762939453125,0.000164031982421875
34,467,0,19,360,",",107,0.029296875,0.0068359375
34,467,0,19,156,",",311,0.0174560546875,-0.0018310546875
34,467,0,19,436, the,31,0.0054931640625,0.00091552734375
34,467,0,20,391, of,76,0.01068115234375,0.00042724609375
34,467,0,20,393,.,74,0.010498046875,0.0018310546875
34,467,0,20,456, or,11,0.008056640625,0.00128173828125
34,467,0,21,460,",",7,0.0203857421875,-0.001953125
34,467,0,21,439,",",28,0.0185546875,-0.0037841796875
34,467,0,21,466, held,1,0.00836181640625,0.003692626953125
34,467,0,22,460,",",7,0.0203857421875,-0.0013427734375
34,467,0,22,439,",",28,0.01806640625,-0.000732421875
34,467,0,22,448, clothes,19,0.0017242431640625,0.0003814697265625
34,467,0,23,462, were,5,0.038330078125,0.010498046875
34,467,0,23,453, consisted,14,0.0308837890625,-0.0108642578125
34,467,0,24,466, held,1,0.6484375,0.607177734375
34,467,0,24,465, and,2,0.07763671875,-0.10791015625
34,467,0,25,465, and,2,0.162109375,-0.0556640625
34,467,0,25,456, or,11,0.0595703125,0.006103515625
34,467,0,25,460,",",7,0.042236328125,0.0128173828125
34,467,0,26,465, and,2,0.1474609375,-0.0166015625
34,467,0,26,462, were,5,0.0634765625,0.003173828125
34,467,0,26,466, held,1,0.037353515625,0.01220703125
34,467,0,27,465, and,2,0.1328125,-0.017578125
34,467,0,27,462, were,5,0.06298828125,-0.0078125
34,467,0,27,460,",",7,0.0419921875,0.011474609375
34,467,0,28,149,",",318,0.0225830078125,0.000732421875
34,467,0,28,156,",",311,0.0208740234375,-0.0035400390625
34,467,0,28,436, the,31,0.0026702880859375,0.0003814697265625
34,467,0,29,360,",",107,0.0133056640625,0.003173828125
34,467,0,29,149,",",318,0.01007080078125,0.0008544921875
34,467,0,29,466, held,1,5.424022674560547e-06,2.2649765014648438e-06
34,467,0,30,360,",",107,0.01495361328125,-0.00018310546875
34,467,0,30,149,",",318,0.01043701171875,-0.00640869140625
34,467,0,30,460,",",7,0.0033416748046875,0.0005950927734375
34,467,0,31,208,",",259,0.000751495361328125,-0.000484466552734375
34,467,0,31,149,",",318,0.00066375732421875,-0.00057220458984375
34,467,1,0,465, and,2,0.0147705078125,-0.01416015625
34,467,1,0,463, worn,4,0.006439208984375,-0.0008544921875
34,467,1,0,466, held,1,0.00616455078125,0.00054931640625
34,467,1,1,465, and,2,0.134765625,-0.09765625
34,467,1,1,462, were,5,0.0556640625,-0.068359375
34,467,1,1,466, held,1,0.050048828125,0.02099609375
34,467,1,2,465, and,2,0.0068359375,0.003570556640625
34,467,1,2,460,",",7,0.005157470703125,-0.000396728515625
34,467,1,3,464, whole,3,0.09326171875,0.0748291015625
34,467,1,3,463, worn,4,0.053466796875,-0.010009765625
34,467,1,4,466, held,1,0.5234375,0.45947265625
34,467,1,4,463, worn,4,0.01141357421875,-0.00775146484375
34,467,1,5,466, held,1,0.02587890625,-0.0107421875
34,467,1,5,465, and,2,0.007171630859375,-0.004486083984375
34,467,1,5,462, were,5,0.00182342529296875,0.000732421875
34,467,1,6,466, held,1,0.494140625,0.48797607421875
34,467,1,6,465, and,2,0.01544189453125,0.0068359375
34,467,1,7,465, and,2,0.0011138916015625,-0.0011444091796875
34,467,1,7,466, held,1,0.000766754150390625,0.00022125244140625
34,467,1,8,449,":

",18,0.036376953125,-0.00439453125
34,467,1,8,453, consisted,14,0.0269775390625,-0.0172119140625
34,467,1,9,449,":

",18,0.0034027099609375,-0.0019683837890625
34,467,1,9,266,".

",201,0.00323486328125,-0.001739501953125
34,467,1,9,466, held,1,0.00083160400390625,4.57763671875e-05
34,467,1,10,461, which,6,0.047119140625,-0.018310546875
34,467,1,10,463, worn,4,0.046875,-0.01171875
34,467,1,10,466, held,1,0.0223388671875,0.0057373046875
34,467,1,11,465, and,2,0.025390625,0.00537109375
34,467,1,11,464, whole,3,0.01953125,-0.01416015625
34,467,1,12,321, same,146,0.005950927734375,-0.003204345703125
34,467,1,12,311, Indians,156,0.005157470703125,-0.003997802734375
34,467,1,12,438, passages,29,0.00148773193359375,5.340576171875e-05
34,467,1,13,466, held,1,0.0322265625,0.02056884765625
34,467,1,13,465, and,2,0.007354736328125,-0.010467529296875
34,467,1,14,465, and,2,0.00799560546875,-0.00634765625
34,467,1,14,456, or,11,0.0067138671875,-0.00579833984375
34,467,1,15,465, and,2,0.0191650390625,-0.0286865234375
