step,query_position,query,token,shift,revisit,threshold,event,top1_probability,top2_margin,logit_entropy
0,534,"

",To,,,,0,0.44672805070877075,0.125,
1,535,To, cook,55.526064993305376,,,0,0.9995003342628479,8.625,
2,536, cook, br,43.57439791208709,14.222703900479809,,0,0.9694033265113831,3.5,
3,537, br,ats,45.62096302142217,14.98966754121835,14.222703900479809,0,1.0,15.125,
4,538,ats,",",84.98817007165475,48.235667237202534,14.951319359181424,0,0.8420009613037109,2.125,
5,539,",", follow,66.6666233218964,29.450120453904425,44.91106726760411,0,0.45137712359428406,0.125,
6,540, follow, these,42.27910956984903,11.405632661702981,45.41783521970781,0,0.6002755761146545,0.625,
7,541, these, steps,36.781165672076625,10.011945600204138,44.47855788054291,0,0.9598507881164551,3.5,
8,542, steps,":

",46.37811357869261,16.88816467480118,43.539280541378005,0,0.4040180444717407,0.125,
9,543,":

",1,59.27108091637545,25.007504720090026,42.60000320221309,0,0.9059146642684937,2.5,
10,544,1,.,56.24261294393692,23.600758682986413,41.660725863048185,0,0.9995366334915161,8.625,
11,545,., Pr,55.75924793454219,23.20232176456375,40.72144852388328,0,0.6810347437858582,1.0,
12,546, Pr,ick,65.33329321193536,31.154404942504705,39.782171184718365,0,0.999992311000824,12.375,
13,547,ick, the,62.143281756190135,27.51601578201131,39.695036089853616,0,0.8626575469970703,1.875,
14,548, the, brat,46.31360899968729,15.6501834047921,38.84097297511872,0,0.9626007676124573,3.25,
15,549, brat,w,53.719189994713375,20.67770999156302,37.98690986038381,0,0.9999961853027344,12.5,
16,550,w,urst,79.13651109495085,41.78857675790631,37.13284674564894,0,0.999992311000824,12.75,
17,551,urst, with,89.72002766252174,50.421740979210625,43.72270390169517,1,0.9874320030212402,4.375,
18,552, with, a,62.37233611027929,27.39464914473519,48.78218567270456,0,0.9998587965965271,8.875,
19,553, a, fork,43.6778695855979,13.3540252779428,48.78218567270456,0,0.9999847412109375,11.125,
20,554, fork, to,63.27407724362487,27.132478794039624,48.78218567270456,0,0.9074589014053345,2.625,
21,555, to, prevent,65.72744802184238,28.914857211225765,43.94686781323239,0,0.9999809265136719,11.375,
22,556, prevent, them,43.48145589859057,13.088831101700693,43.94686781323239,0,0.8692409992218018,2.5,
23,557, them, from,52.810068589794255,19.380249907880554,43.94686781323239,0,0.999992311000824,12.125,
24,558, from, exploding,47.88466650969988,15.120244866073753,43.94686781323239,0,0.9887399673461914,4.5,
25,559, exploding,".
",60.70850545166223,25.519236230787897,43.94686781323239,0,0.5116168260574341,0.125,
26,560,".
",2,85.01812568271778,45.710318913074445,43.94686781323239,1,0.9938998818397522,5.5,
27,561,2,.,59.1943620815409,24.736990850262664,46.88817442960849,0,0.9999713897705078,11.75,
28,562,., Place,61.448133539491685,26.00380731921353,46.88817442960849,0,0.4267215430736542,0.625,
29,563, Place, the,54.67744169097813,20.67919068034177,46.88817442960849,0,0.9039141535758972,2.875,
30,564, the, brat,39.92243773400567,9.975112613961514,46.88817442960849,0,0.9944915771484375,5.25,
31,565, brat,w,61.68035429871389,24.96410193838159,46.88817442960849,0,1.0,16.0,
32,566,w,urst,93.44959513714761,53.16628296875858,46.88817442960849,1,0.9999961853027344,12.75,
33,567,urst, in,102.77546492718572,60.08787268975425,51.10787647659761,0,0.9217177033424377,3.125,
34,568, in, a,54.45092689033713,19.635382115056856,54.896680399007494,0,0.9997387528419495,9.0,
35,569, a, large,37.58085229583705,9.079658737638336,54.896680399007494,0,0.9836855530738831,4.25,
36,570, large, pot,36.87222223035003,8.518146916715228,54.896680399007494,0,0.6789517998695374,0.75,
37,571, pot, with,46.78022690637758,15.73178944058337,54.896680399007494,0,0.9508110880851746,3.0,
38,572, with, the,54.67561844572893,20.32889164577912,54.896680399007494,0,0.7539302110671997,1.25,
39,573, the, onions,36.01294955805001,9.056967420554372,54.896680399007494,0,0.9976338148117065,6.625,
40,574, onions,",",57.61623439929046,23.162758791198463,54.896680399007494,0,0.9834735989570618,4.125,
41,575,",", butter,57.330160890703226,22.506359909984116,54.896680399007494,0,0.9882912635803223,4.875,
42,576, butter,",",62.08957309227311,25.913482091722592,54.896680399007494,0,0.9993003010749817,7.5,
43,577,",", and,61.79698108151372,27.47578095462258,54.896680399007494,0,0.9996128678321838,8.0,
44,578, and, beer,50.69263599637173,18.564568317072734,54.896680399007494,0,0.9999331831932068,10.5,
45,579, beer,".
",63.72135188777334,28.235513488194933,54.896680399007494,0,0.4059298038482666,0.125,
46,580,".
",3,82.36695687815752,45.57832224621435,54.896680399007494,0,0.9969300031661987,5.875,
47,581,3,.,66.64863179153849,31.451059831935602,54.896680399007494,0,0.9999351501464844,11.25,
48,582,., Place,67.90799111363232,30.961823289271976,54.896680399007494,0,0.558640718460083,0.5,
49,583, Place, the,59.99323796984982,25.179742078708102,49.20570985709932,0,0.9839594960212708,4.125,
50,584, the, pot,49.59832983940604,17.857715901520802,34.98287543550529,0,0.999992311000824,12.25,
51,585, pot, over,60.50238939846134,25.515652888957764,34.98287543550529,0,0.9999390244483948,9.75,
52,586, over, medium,48.725365517729756,15.380632339811172,34.98287543550529,0,0.9999770522117615,11.25,
53,587, medium, heat,42.74974039591849,11.558637973524197,34.98287543550529,0,0.9999427199363708,11.0,
54,588, heat, and,52.637945265644774,18.805241946484955,34.98287543550529,0,0.730583667755127,1.0,
55,589, and, simmer,68.05124978331078,29.32481231718829,34.98287543550529,0,0.9995862245559692,8.375,
56,590, simmer, for,59.428543531192894,20.413335887805708,34.98287543550529,0,0.999527096748352,7.75,
57,591, for, ,54.38756652423085,17.84849370864821,34.98287543550529,0,0.999849259853363,9.375,
58,592, ,15,71.40497775194956,32.462377112634115,34.98287543550529,0,0.9231427907943726,2.5,
59,593,15, to,71.45699305664496,32.722446001689725,35.74136339602917,0,0.9669030904769897,3.375,
60,594, to, ,96.58775369444803,54.518018747713924,35.936415062820885,1,0.9999733567237854,11.5,
61,595, ,20,78.35237648401059,38.21708182343923,47.813246371589244,0,0.9999256134033203,11.25,
62,596,20, minutes,79.62310921743892,38.296627424418304,47.813246371589244,0,0.9999961853027344,13.5,
63,597, minutes,".
",62.388954787969254,24.286244540604066,42.35197525524221,0,0.9226288199424744,3.5,
64,598,".
",4,77.05902693760999,36.93687416447368,42.35197525524221,0,0.9931097030639648,5.875,
65,599,4,.,64.23951856341229,26.837861133493373,42.35197525524221,0,0.9997196197509766,9.125,
66,600,., Pre,68.86612654978981,29.6789353921531,42.35197525524221,0,0.705302357673645,1.5,
67,601, Pre,heat,74.68004760964105,34.28444522323484,42.35197525524221,0,0.9999961853027344,12.5,
68,602,heat, a,56.032257852844864,19.383148321978908,42.35197525524221,0,0.6615827083587646,1.125,
69,603, a, grill,47.84839965353894,14.315697767907418,42.35197525524221,0,0.9998512864112854,10.25,
70,604, grill, for,60.82450572141126,21.307519253759494,42.35197525524221,0,0.9656902551651001,3.375,
71,605, for, medium,56.708326384870674,17.502712920457526,42.35197525524221,0,0.9999236464500427,9.625,
72,606, medium,-high,51.75690114192419,15.221722320753454,42.35197525524221,0,0.9969662427902222,6.25,
73,607,-high, heat,48.83468472401604,14.095219685478932,42.35197525524221,0,0.999969482421875,10.625,
74,608, heat, and,72.12514285824543,30.61978542191545,42.35197525524221,0,0.3486754596233368,0.125,
75,609, and, lightly,75.65877676707322,34.76121903909637,42.35197525524221,0,0.9418404698371887,3.25,
76,610, lightly, oil,73.63021342729175,32.43427549414474,42.35197525524221,0,0.9999961853027344,13.625,
77,611, oil, the,48.797926082386255,14.122552000432805,38.236968223684,0,0.9984942674636841,7.0,
78,612, the, grate,54.89565551657386,18.602952112985562,37.276812479459835,0,0.996747612953186,5.875,
79,613, grate,".
",89.27087685860184,47.31490727542485,35.3051328204407,1,0.9972058534622192,6.25,
80,614,".
",5,87.79513074791008,46.078425408519664,39.53138244221147,0,0.9911378622055054,4.875,
81,615,5,.,71.35450974930558,31.654387990790944,46.38754587524596,0,0.9998608231544495,10.125,
82,616,., Cook,79.98332429297102,38.36353844198317,46.38754587524596,0,0.8981140851974487,2.875,
83,617, Cook, the,67.50281525719622,27.414129266421305,46.38754587524596,0,0.9996262788772583,8.0,
84,618, the, brat,50.03633816336269,14.239785392001185,46.38754587524596,0,0.9990849494934082,7.125,
85,619, brat,w,71.9320937300386,31.68118141757905,46.38754587524596,0,1.0,13.625,
86,620,w,urst,97.34009059093037,53.17254433553481,46.38754587524596,1,0.9999961853027344,12.75,
87,621,urst, on,112.52053675193196,63.9737287974093,48.77931654045234,0,0.9992696642875671,7.25,
88,622, on, the,61.46759373770654,22.21517123257006,55.872840451003434,0,0.9999083876609802,9.5,
89,623, the, pre,54.40013734645444,16.057614236532526,55.872840451003434,0,0.8352970480918884,1.625,
90,624, pre,he,82.17571401578138,36.27352652051085,55.872840451003434,0,0.999992311000824,12.625,
91,625,he,ated,93.842264208436,47.45703813635484,55.872840451003434,0,0.999992311000824,12.75,
92,626,ated, grill,107.78820987508902,57.69491684482742,55.872840451003434,1,1.0,14.25,
93,627, grill, for,72.58327744433778,26.809606078054234,59.26461983297289,0,0.8518773913383484,1.75,
94,628, for, ,59.87306015658369,18.07549069423416,59.26461983297289,0,0.9999847412109375,12.25,
95,629, ,10,66.37544610599477,22.94946017882743,59.26461983297289,0,0.9464468955993652,2.875,
96,630,10, to,64.58166313740087,22.00924230130039,59.26461983297289,0,0.9859208464622498,4.25,
97,631, to, ,94.03164953284686,45.442834862388295,59.26461983297289,0,0.9998740553855896,9.0,
98,632, ,14,84.3058016826986,36.06777473762959,59.26461983297289,0,0.9983248710632324,6.875,
99,633,14, minutes,76.22444872217159,29.992649789884023,59.26461983297289,0,0.999992311000824,13.125,
100,634, minutes,",",65.14842500188931,22.800912820406026,59.26461983297289,0,0.9982390999794006,7.375,
