step,query_step,query_position,query,token,shift,revisit,threshold,active,event,top1_probability,top2_margin,logit_entropy
0,-1,433,"

",In,,,,0,0,0.39813533,0.0,1.7358274
1,0,434,In,ca,25.98146954104719,,,0,0,0.9986752,7.625,0.018675243
2,1,435,ca, clothes,24.659221943256032,0.7473712998068975,,0,0,0.7750221,1.75,1.0689247
3,2,436, clothes, were,29.444833250789205,1.01217424685444,0.7473712998068975,0,0,0.55123276,1.0,2.0354116
4,3,437, were, made,31.945201246237946,2.2116735404871557,0.9989340995020628,0,0,0.6465013,1.5,2.1203902
5,4,438, made, of,28.608438560734132,2.2751389564019084,2.091723611123884,0,0,0.8345581,1.625,0.65883964
6,5,439, of, woven,23.592695264564178,1.573042076273813,2.2656191440146953,0,0,0.99246967,5.375,0.085524105
7,6,440, woven, or,30.888961777885253,2.1220245178131742,2.262445873218958,0,0,0.9995938,8.25,0.005607932
8,7,441, or, kn,25.321005643976573,2.094269760399749,2.2592726024232204,0,0,0.99991995,9.5,0.0012489957
9,8,442, kn,itted,38.261332298674446,4.096234099073697,2.2560993316274827,0,0,0.9999962,13.375,0.00010796427
10,9,443,itted, textiles,40.31658136952601,4.5199478710607055,3.45885079913857,0,0,0.9999295,10.625,0.0013008143
11,10,444, textiles,",",25.60337624351405,1.9501192914704963,4.350462362265902,0,0,0.8568165,2.375,0.8697509
12,11,445,",", often,25.753799181814657,2.1213253771485303,4.329276673666551,0,0,0.5226597,1.0,2.430309
13,12,446, often, with,30.056724328415914,3.697396654754038,4.308090985067201,0,0,0.3475222,0.5,2.7540755
14,13,447, with, rich,23.047732359326464,2.154167353641623,4.28690529646785,0,0,0.55146724,1.5,2.4318619
15,14,448, rich, colors,35.454344164730614,4.054912426624034,4.265719607868499,0,0,0.9932253,5.375,0.069388665
16,15,449, colors, and,21.757568448313762,1.2636068131279614,4.244533919269149,0,0,0.89247894,2.375,0.58307654
17,16,450, and, delicate,23.3471850576817,1.7166754679834475,4.223348230669799,0,0,0.45250204,0.875,2.533081
18,17,451, delicate, embroidery,28.16404523048816,2.639511547868991,4.2021625420704485,0,0,0.7282645,1.0,0.88295615
19,18,452, embroidery, with,25.01293911850216,1.670547413355682,4.2021625420704485,0,0,0.6841229,1.5,1.3731031
20,19,453, with, gold,27.38377095618959,1.9955519428473343,4.2021625420704485,0,0,0.9999809,11.625,0.00037954634
21,20,454, gold, and,26.997420083895005,1.8700841743326775,4.2021625420704485,0,0,0.9998131,8.625,0.0026253252
22,21,455, and, silver,36.87787818282688,5.728047213507766,4.2021625420704485,1,1,1.0,14.125,3.6152094e-05
23,22,456, silver, thread,37.989929400769995,5.7795778428941045,4.8219727066724705,1,0,0.9986657,6.625,0.014772586
