step,query_step,query_position,query,token,shift,revisit,threshold,active,event,top1_probability,top2_margin,logit_entropy
0,-1,293,"

",Based,,,,0,0,0.8769396,2.875,0.87727815
1,0,294,Based, on,14.46368801576323,,,0,0,0.9999886,11.625,0.00022536548
2,1,295, on, the,8.857777779467668,0.03062435042315654,,0,0,0.9999504,10.125,0.0008557414
3,2,296, the, given,15.419327835594883,0.35042788733181746,0.03062435042315654,0,0,0.70043594,1.375,1.1813184
4,3,297, given, passages,17.01338417170761,0.49842265219615645,0.3344377104863844,0,0,0.9999466,10.25,0.0009153773
5,4,298, passages,",",24.109512281218272,0.9150705932986464,0.4836231757097225,0,0,0.8508771,1.75,0.62097764
6,5,299,",", here,22.86290103819092,0.8891412551692073,0.8525734021332727,0,0,0.8769246,2.0,0.5709577
7,6,300, here,'s,19.995118861752154,0.5274462338706103,0.9098847256727586,0,0,0.50614554,0.25,1.3582423
8,7,301,'s, a,12.276335637591806,0.21469193009922627,0.9085882587662866,0,0,0.9235338,2.5,0.39596537
9,8,302, a, brief,20.230623076451135,0.9780412998344343,0.9072917918598147,0,0,0.9953227,6.125,0.053966016
10,9,303, brief, answer,14.932781983801927,0.5113759949072665,0.9560015525469086,0,0,0.5116451,0.625,1.7168812
11,10,304, answer, to,14.246004825287269,0.3103592474886705,0.9528530172201192,0,0,0.81131345,1.875,1.0160062
12,11,305, to, the,19.69035432805488,0.6033079248227916,0.9497044818933297,0,0,0.96517473,3.5,0.24401924
13,12,306, the, question,17.394269234167623,0.7055516318052335,0.9465559465665403,0,0,0.9869933,4.625,0.11229939
14,13,307, question,":

",14.469077272048413,0.33405438472628957,0.9434074112397509,0,0,0.7659782,1.25,0.89622515
15,14,308,":

",1,39.11668659346452,1.911388796363675,0.9402588759129614,0,0,0.52911127,0.25,1.4208153
16,15,309,1,.,29.362734381326277,1.394332497332638,1.3047129236196682,0,0,0.9998684,9.625,0.0023728805
17,16,310,., **,36.32592247308081,2.570204291925661,1.5494493870419486,1,1,0.58090997,0.5,1.354865
18,17,311, **,Linear,17.825651463005165,1.0836263527502372,2.0760926702541713,0,0,0.8470815,1.75,0.6715371
19,18,312,Linear, Bus,41.095784858255065,4.7891831184959335,2.0760926702541713,1,1,0.99917257,7.625,0.011160661
20,19,313, Bus, Top,21.53850136956489,1.8231410737511804,3.124948998568229,0,0,0.5322439,0.375,1.5559485
21,20,314, Top,ology,22.830052310447094,1.8571633723890182,3.124948998568229,0,0,0.9999923,11.625,0.00016574324
22,21,315,ology,**:,23.41387637187757,1.4399110895739102,3.124948998568229,0,0,0.9393485,2.75,0.33600086
23,22,316,**:, A,32.54288318097146,3.0446977874245365,3.124948998568229,0,0,0.60214585,0.75,1.6461318
24,23,317, A, network,22.852882464682928,1.9859366619447467,3.4808191201923857,0,0,0.6249479,0.875,1.4874607
25,24,318, network, where,20.554722739366525,1.7356179945297647,3.4808191201923857,0,0,0.92070913,2.75,0.51070017
26,25,319, where, all,21.65323748426227,2.2010034377265386,3.4808191201923857,0,0,0.99371034,5.125,0.057764575
27,26,320, all, nodes,17.96652102521139,1.4354800377685308,3.4808191201923857,0,0,0.9987838,6.75,0.013963016
28,27,321, nodes, are,16.935774347376995,1.06359429746227,3.4808191201923857,0,0,0.99637496,5.625,0.03491891
29,28,322, are, connected,15.947698724172692,1.1947411844178881,3.4808191201923857,0,0,0.9999923,13.0,0.0001370675
30,29,323, connected, to,14.697985975065867,0.97303343332166,3.4808191201923857,0,0,0.9996415,8.625,0.0054093893
31,30,324, to, a,14.148660183226141,0.8703966967981502,3.4808191201923857,0,0,0.9992678,7.375,0.009230104
32,31,325, a, single,13.972227307118374,0.7629198083709912,3.4808191201923857,0,0,0.9064073,2.875,0.63691485
33,32,326, single, transmission,13.131029970126432,1.0191878300696635,3.4808191201923857,0,0,0.88178515,2.75,0.7434829
34,33,327, transmission, medium,17.61388510502305,1.2989293287075152,3.4808191201923857,0,0,0.9999504,10.25,0.0008657135
35,34,328, medium, with,14.329968502209494,0.7732967331974256,3.4808191201923857,0,0,0.9862612,4.875,0.123430096
36,35,329, with, two,16.71664699561023,1.4326332854888106,2.411927025151038,0,0,0.9832804,4.5,0.14326417
37,36,330, two, endpoints,14.275910663537541,0.9839058527137918,2.411927025151038,0,0,0.99980736,9.5,0.0031436714
38,37,331, endpoints,.,18.224521512725136,1.605365708862173,2.411927025151038,0,0,0.76951164,1.875,1.1328471
39,38,332,., If,26.11578683146636,4.01058723261061,2.411927025151038,1,1,0.5929383,1.875,2.4189599
40,39,333, If, there,25.08057486950416,3.7904753475727864,2.6533993864475565,1,0,0.7738906,1.625,1.1485041
41,40,334, there, are,19.279316583122725,2.80688395976354,3.8455033188322423,0,0,0.9219955,2.5,0.41051295
42,41,335, are, more,14.98325298280429,1.2017023992761136,3.8455033188322423,0,0,0.8461077,1.75,0.67420095
43,42,336, more, than,16.723809098855465,2.6836579807494583,3.8455033188322423,0,0,0.99719435,6.0,0.030262282
44,43,337, than, two,13.537610087618464,1.7195596331809857,3.8455033188322423,0,0,0.99934787,7.375,0.00808343
45,44,338, two, endpoints,19.483621215563502,3.33392488954941,3.8455033188322423,0,0,0.999224,7.75,0.010824777
46,45,339, endpoints,",",21.549391685271324,3.9966586952911456,3.8455033188322423,1,1,0.648434,0.75,1.2262472
47,46,340,",", it,21.265329489076386,3.7852443429786926,4.000140829621012,0,0,0.9828978,4.375,0.1530087
