step,position,query_position,token_id,token_piece,token,focus,top2_margin,logit_entropy
0,535,534,1271,To,To,0,0.125,
1,536,535,4394,Ġcook, cook,0,8.625,
2,537,536,1437,Ġbr, br,0,3.5,
3,538,537,1900,ats,ats,0,15.125,
4,539,538,11,",",",",0,2.125,
5,540,539,1833,Ġfollow, follow,0,0.125,
6,541,540,1521,Ġthese, these,0,0.625,
7,542,541,7504,Ġsteps, steps,0,3.5,
8,543,542,1473,:ĊĊ,":

",0,0.125,
9,544,543,16,1,1,0,2.5,
10,545,544,13,.,.,0,8.625,
11,546,545,2394,ĠPr, Pr,0,1.0,
12,547,546,875,ick,ick,0,12.375,
13,548,547,279,Ġthe, the,0,1.875,
14,549,548,117845,Ġbrat, brat,0,3.25,
15,550,549,86,w,w,0,12.5,
16,551,550,33712,urst,urst,0,12.75,
17,552,551,449,Ġwith, with,0,4.375,
18,553,552,264,Ġa, a,0,8.875,
19,554,553,23243,Ġfork, fork,0,11.125,
20,555,554,311,Ġto, to,0,2.625,
21,556,555,5471,Ġprevent, prevent,0,11.375,
22,557,556,1124,Ġthem, them,0,2.5,
23,558,557,505,Ġfrom, from,0,12.125,
24,559,558,73745,Ġexploding, exploding,0,4.5,
25,560,559,439,Ġas, as,0,0.125,
26,561,560,814,Ġthey, they,0,10.125,
27,562,561,4394,Ġcook, cook,0,13.875,
28,563,562,627,.Ċ,".
",0,2.875,
29,564,563,17,2,2,0,6.25,
30,565,564,13,.,.,0,11.5,
31,566,565,47912,ĠCombine, Combine,0,0.5,
32,567,566,279,Ġthe, the,0,2.75,
33,568,567,117845,Ġbrat, brat,0,0.5,
34,569,568,86,w,w,0,16.375,
35,570,569,33712,urst,urst,0,13.5,
36,571,570,11,",",",",0,1.0,
37,572,571,45697,Ġonions, onions,0,3.5,
38,573,572,11,",",",",0,4.75,
39,574,573,14432,Ġbutter, butter,0,1.5,
40,575,574,11,",",",",0,5.25,
41,576,575,323,Ġand, and,0,7.0,
42,577,576,13179,Ġbeer, beer,0,10.25,
43,578,577,304,Ġin, in,0,6.25,
44,579,578,264,Ġa, a,0,9.125,
45,580,579,3544,Ġlarge, large,0,4.875,
46,581,580,3419,Ġpot, pot,0,2.625,
47,582,581,13,.,.,0,1.0,
48,583,582,11004,ĠPlace, Place,0,0.25,
49,584,583,279,Ġthe, the,0,1.125,
50,585,584,3419,Ġpot, pot,0,9.125,
51,586,585,927,Ġover, over,0,9.625,
52,587,586,11298,Ġmedium, medium,0,13.0,
53,588,587,8798,Ġheat, heat,0,12.375,
54,589,588,323,Ġand, and,0,1.75,
55,590,589,62915,Ġsimmer, simmer,0,9.75,
56,591,590,369,Ġfor, for,0,9.125,
57,592,591,220,Ġ, ,0,10.0,
58,593,592,868,15,15,0,3.625,
59,594,593,311,Ġto, to,0,3.75,
60,595,594,220,Ġ, ,0,12.375,
61,596,595,508,20,20,0,11.875,
62,597,596,4520,Ġminutes, minutes,0,14.0,
63,598,597,627,.Ċ,".
",0,3.5,
64,599,598,18,3,3,0,5.25,
65,600,599,13,.,.,0,8.625,
66,601,600,5075,ĠPre, Pre,0,1.625,
67,602,601,20559,heat,heat,0,13.25,
68,603,602,264,Ġa, a,0,0.875,
69,604,603,40158,Ġgrill, grill,0,10.5,
70,605,604,369,Ġfor, for,0,3.875,
71,606,605,11298,Ġmedium, medium,0,10.5,
72,607,606,28661,-high,-high,0,6.5,
73,608,607,8798,Ġheat, heat,0,10.625,
74,609,608,13,.,.,0,1.5,
75,610,609,8828,ĠLight, Light,0,3.25,
76,611,610,398,ly,ly,0,14.625,
77,612,611,5707,Ġoil, oil,0,15.125,
78,613,612,279,Ġthe, the,0,10.5,
79,614,613,86454,Ġgrate, grate,0,3.0,
80,615,614,627,.Ċ,".
",0,3.375,
81,616,615,19,4,4,0,4.375,
82,617,616,13,.,.,0,8.875,
83,618,617,12797,ĠCook, Cook,0,2.875,
84,619,618,279,Ġthe, the,0,6.0,
85,620,619,117845,Ġbrat, brat,0,7.375,
86,621,620,86,w,w,0,14.375,
87,622,621,33712,urst,urst,0,11.875,
88,623,622,389,Ġon, on,0,8.375,
89,624,623,279,Ġthe, the,0,8.75,
90,625,624,864,Ġpre, pre,0,4.0,
91,626,625,383,he,he,0,12.375,
92,627,626,660,ated,ated,0,13.625,
93,628,627,40158,Ġgrill, grill,0,14.75,
94,629,628,369,Ġfor, for,0,1.75,
95,630,629,220,Ġ, ,0,12.25,
96,631,630,605,10,10,0,3.125,
97,632,631,311,Ġto, to,0,4.75,
98,633,632,220,Ġ, ,0,11.125,
99,634,633,975,14,14,0,7.0,
100,635,634,4520,Ġminutes, minutes,0,13.375,
101,636,635,11,",",",",0,7.75,
102,637,636,13353,Ġturning, turning,0,6.5,
103,638,637,23781,Ġoccasionally, occasionally,0,10.0,
104,639,638,311,Ġto, to,0,5.625,
105,640,639,14198,Ġbrown, brown,0,10.125,
106,641,640,42147,Ġevenly, evenly,0,8.5,
107,642,641,627,.Ċ,".
",0,0.375,
108,643,642,20,5,5,1,3.5,
109,644,643,13,.,.,1,7.125,
110,645,644,11016,ĠRemove, Remove,1,1.25,
111,646,645,279,Ġthe, the,1,8.125,
112,647,646,117845,Ġbrat, brat,1,6.5,
113,648,647,86,w,w,1,11.0,
114,649,648,33712,urst,urst,1,12.75,
115,650,649,505,Ġfrom, from,1,3.875,
116,651,650,279,Ġthe, the,1,4.75,
117,652,651,40158,Ġgrill, grill,1,1.25,
118,653,652,323,Ġand, and,1,1.75,
119,654,653,4394,Ġcook, cook,1,0.875,
120,655,654,279,Ġthe, the,1,4.875,
121,656,655,45697,Ġonions, onions,1,3.5,
122,657,656,304,Ġin, in,1,4.875,
123,658,657,279,Ġthe, the,1,5.5,
124,659,658,13179,Ġbeer, beer,1,1.375,
125,660,659,21655,Ġmixture, mixture,1,6.125,
126,661,660,369,Ġfor, for,1,0.125,
127,662,661,220,Ġ, ,1,0.125,
128,663,662,605,10,10,1,1.375,
129,664,663,311,Ġto, to,1,3.5,
130,665,664,220,Ġ, ,1,9.125,
131,666,665,717,12,12,1,5.375,
132,667,666,4520,Ġminutes, minutes,1,5.0,
133,668,667,382,.ĊĊ,".

",1,0.75,
134,669,668,93114,Alternatively,Alternatively,0,0.625,
135,670,669,11,",",",",0,3.75,
136,671,670,499,Ġyou, you,0,2.0,
137,672,671,649,Ġcan, can,0,5.625,
138,673,672,4394,Ġcook, cook,0,0.75,
139,674,673,279,Ġthe, the,0,3.375,
140,675,674,117845,Ġbrat, brat,0,1.25,
141,676,675,86,w,w,0,10.25,
142,677,676,33712,urst,urst,0,10.25,
