position,passage,token_id,token_piece,token,context
64,1,16,1,1,1 Reduce heat to medium and cook another 10 to 12 m
65,1,53253,ĠReduce, Reduce,1 Reduce heat to medium and cook another 10 to 12 minutes.
66,1,8798,Ġheat, heat,1 Reduce heat to medium and cook another 10 to 12 minutes. 2  R
67,1,311,Ġto, to,1 Reduce heat to medium and cook another 10 to 12 minutes. 2  Remo
68,1,11298,Ġmedium, medium,1 Reduce heat to medium and cook another 10 to 12 minutes. 2  Remove the 
69,1,323,Ġand, and,1 Reduce heat to medium and cook another 10 to 12 minutes. 2  Remove the brat
70,1,4394,Ġcook, cook,1 Reduce heat to medium and cook another 10 to 12 minutes. 2  Remove the bratwurst
71,1,2500,Ġanother, another,1 Reduce heat to medium and cook another 10 to 12 minutes. 2  Remove the bratwurst from th
72,1,220,Ġ, ,1 Reduce heat to medium and cook another 10 to 12 minutes. 2  Remove the bratwurst from the
73,1,605,10,10,1 Reduce heat to medium and cook another 10 to 12 minutes. 2  Remove the bratwurst from the b
74,1,311,Ġto, to,1 Reduce heat to medium and cook another 10 to 12 minutes. 2  Remove the bratwurst from the beer
75,1,220,Ġ, ,1 Reduce heat to medium and cook another 10 to 12 minutes. 2  Remove the bratwurst from the beer 
76,1,717,12,12,1 Reduce heat to medium and cook another 10 to 12 minutes. 2  Remove the bratwurst from the beer mi
77,1,4520,Ġminutes, minutes,1 Reduce heat to medium and cook another 10 to 12 minutes. 2  Remove the bratwurst from the beer mixture; r
78,1,13,.,.,e heat to medium and cook another 10 to 12 minutes. 2  Remove the bratwurst from the beer mixture; re
79,1,220,Ġ, , heat to medium and cook another 10 to 12 minutes. 2  Remove the bratwurst from the beer mixture; red
80,1,17,2,2,heat to medium and cook another 10 to 12 minutes. 2  Remove the bratwurst from the beer mixture; redu
81,1,220,Ġ, ,eat to medium and cook another 10 to 12 minutes. 2  Remove the bratwurst from the beer mixture; reduc
82,1,11016,ĠRemove, Remove,at to medium and cook another 10 to 12 minutes. 2  Remove the bratwurst from the beer mixture; reduce heat 
83,1,279,Ġthe, the,edium and cook another 10 to 12 minutes. 2  Remove the bratwurst from the beer mixture; reduce heat to l
84,1,117845,Ġbrat, brat,"m and cook another 10 to 12 minutes. 2  Remove the bratwurst from the beer mixture; reduce heat to low, a"
85,1,86,w,w," cook another 10 to 12 minutes. 2  Remove the bratwurst from the beer mixture; reduce heat to low, an"
86,1,33712,urst,urst,"cook another 10 to 12 minutes. 2  Remove the bratwurst from the beer mixture; reduce heat to low, and co"
87,1,505,Ġfrom, from," another 10 to 12 minutes. 2  Remove the bratwurst from the beer mixture; reduce heat to low, and continu"
88,1,279,Ġthe, the,"her 10 to 12 minutes. 2  Remove the bratwurst from the beer mixture; reduce heat to low, and continue co"
89,1,13179,Ġbeer, beer,"10 to 12 minutes. 2  Remove the bratwurst from the beer mixture; reduce heat to low, and continue cooking"
90,1,21655,Ġmixture, mixture," 12 minutes. 2  Remove the bratwurst from the beer mixture; reduce heat to low, and continue cooking the oni"
91,1,26,;,;,"tes. 2  Remove the bratwurst from the beer mixture; reduce heat to low, and continue cooking the onio"
92,1,8108,Ġreduce, reduce,"es. 2  Remove the bratwurst from the beer mixture; reduce heat to low, and continue cooking the onions. 3  "
93,1,8798,Ġheat, heat,"Remove the bratwurst from the beer mixture; reduce heat to low, and continue cooking the onions. 3  Cook "
94,1,311,Ġto, to,"e the bratwurst from the beer mixture; reduce heat to low, and continue cooking the onions. 3  Cook the"
95,1,3428,Ġlow, low,"he bratwurst from the beer mixture; reduce heat to low, and continue cooking the onions. 3  Cook the bra"
96,1,11,",",",","ratwurst from the beer mixture; reduce heat to low, and continue cooking the onions. 3  Cook the brat"
97,1,323,Ġand, and,"atwurst from the beer mixture; reduce heat to low, and continue cooking the onions. 3  Cook the bratwurs"
98,1,3136,Ġcontinue, continue,"rst from the beer mixture; reduce heat to low, and continue cooking the onions. 3  Cook the bratwurst on the "
99,1,17677,Ġcooking, cooking,"the beer mixture; reduce heat to low, and continue cooking the onions. 3  Cook the bratwurst on the preheate"
100,1,279,Ġthe, the," mixture; reduce heat to low, and continue cooking the onions. 3  Cook the bratwurst on the preheated gr"
101,1,45697,Ġonions, onions,"ture; reduce heat to low, and continue cooking the onions. 3  Cook the bratwurst on the preheated grill, tu"
102,1,13,.,.,"educe heat to low, and continue cooking the onions. 3  Cook the bratwurst on the preheated grill, tur"
103,1,220,Ġ, ,"duce heat to low, and continue cooking the onions. 3  Cook the bratwurst on the preheated grill, turn"
104,1,18,3,3,"uce heat to low, and continue cooking the onions. 3  Cook the bratwurst on the preheated grill, turni"
105,1,220,Ġ, ,"ce heat to low, and continue cooking the onions. 3  Cook the bratwurst on the preheated grill, turnin"
106,1,12797,ĠCook, Cook,"e heat to low, and continue cooking the onions. 3  Cook the bratwurst on the preheated grill, turning onc"
107,1,279,Ġthe, the,"t to low, and continue cooking the onions. 3  Cook the bratwurst on the preheated grill, turning once, 5"
108,1,117845,Ġbrat, brat," low, and continue cooking the onions. 3  Cook the bratwurst on the preheated grill, turning once, 5 to 1"
109,1,86,w,w," and continue cooking the onions. 3  Cook the bratwurst on the preheated grill, turning once, 5 to 10"
110,1,33712,urst,urst,"and continue cooking the onions. 3  Cook the bratwurst on the preheated grill, turning once, 5 to 10 min"
111,1,389,Ġon, on,"continue cooking the onions. 3  Cook the bratwurst on the preheated grill, turning once, 5 to 10 minute"
112,1,279,Ġthe, the,"tinue cooking the onions. 3  Cook the bratwurst on the preheated grill, turning once, 5 to 10 minutes. 4"
113,1,864,Ġpre, pre,"e cooking the onions. 3  Cook the bratwurst on the preheated grill, turning once, 5 to 10 minutes. 4  Se"
114,1,383,he,he,"oking the onions. 3  Cook the bratwurst on the preheated grill, turning once, 5 to 10 minutes. 4  Serv"
115,1,660,ated,ated,"ing the onions. 3  Cook the bratwurst on the preheated grill, turning once, 5 to 10 minutes. 4  Serve wi"
116,1,40158,Ġgrill, grill,"the onions. 3  Cook the bratwurst on the preheated grill, turning once, 5 to 10 minutes. 4  Serve with the"
117,1,11,",",",","ions. 3  Cook the bratwurst on the preheated grill, turning once, 5 to 10 minutes. 4  Serve with the "
118,1,13353,Ġturning, turning,"ons. 3  Cook the bratwurst on the preheated grill, turning once, 5 to 10 minutes. 4  Serve with the beer mix"
119,1,3131,Ġonce, once,"Cook the bratwurst on the preheated grill, turning once, 5 to 10 minutes. 4  Serve with the beer mixture "
120,1,11,",",",","the bratwurst on the preheated grill, turning once, 5 to 10 minutes. 4  Serve with the beer mixture a"
121,1,220,Ġ, ,"he bratwurst on the preheated grill, turning once, 5 to 10 minutes. 4  Serve with the beer mixture as"
122,1,20,5,5,"e bratwurst on the preheated grill, turning once, 5 to 10 minutes. 4  Serve with the beer mixture as "
123,1,311,Ġto, to," bratwurst on the preheated grill, turning once, 5 to 10 minutes. 4  Serve with the beer mixture as a t"
124,1,220,Ġ, ,"atwurst on the preheated grill, turning once, 5 to 10 minutes. 4  Serve with the beer mixture as a to"
125,1,605,10,10,"twurst on the preheated grill, turning once, 5 to 10 minutes. 4  Serve with the beer mixture as a topp"
126,1,4520,Ġminutes, minutes,"urst on the preheated grill, turning once, 5 to 10 minutes. 4  Serve with the beer mixture as a topping or s"
127,1,13,.,.,"the preheated grill, turning once, 5 to 10 minutes. 4  Serve with the beer mixture as a topping or si"
128,1,220,Ġ, ,"he preheated grill, turning once, 5 to 10 minutes. 4  Serve with the beer mixture as a topping or sid"
129,1,19,4,4,"e preheated grill, turning once, 5 to 10 minutes. 4  Serve with the beer mixture as a topping or side"
130,1,220,Ġ, ," preheated grill, turning once, 5 to 10 minutes. 4  Serve with the beer mixture as a topping or side."
131,1,54032,ĠServe, Serve,"preheated grill, turning once, 5 to 10 minutes. 4  Serve with the beer mixture as a topping or side.irecti"
132,1,449,Ġwith, with,"ted grill, turning once, 5 to 10 minutes. 4  Serve with the beer mixture as a topping or side.irections. "
133,1,279,Ġthe, the,"rill, turning once, 5 to 10 minutes. 4  Serve with the beer mixture as a topping or side.irections. Prep"
134,1,13179,Ġbeer, beer,", turning once, 5 to 10 minutes. 4  Serve with the beer mixture as a topping or side.irections. Prep. Coo"
135,1,21655,Ġmixture, mixture,"ning once, 5 to 10 minutes. 4  Serve with the beer mixture as a topping or side.irections. Prep. Cook. Ready"
136,1,439,Ġas, as,"e, 5 to 10 minutes. 4  Serve with the beer mixture as a topping or side.irections. Prep. Cook. Ready In"
137,1,264,Ġa, a,5 to 10 minutes. 4  Serve with the beer mixture as a topping or side.irections. Prep. Cook. Ready In. 
138,1,61376,Ġtopping, topping,to 10 minutes. 4  Serve with the beer mixture as a topping or side.irections. Prep. Cook. Ready In. 1  Prehe
139,1,477,Ġor, or,nutes. 4  Serve with the beer mixture as a topping or side.irections. Prep. Cook. Ready In. 1  Preheat 
140,1,3185,Ġside, side,es. 4  Serve with the beer mixture as a topping or side.irections. Prep. Cook. Ready In. 1  Preheat an ou
141,1,13,.,.,  Serve with the beer mixture as a topping or side.irections. Prep. Cook. Ready In. 1  Preheat an out
142,1,2936,irection,irection, Serve with the beer mixture as a topping or side.irections. Prep. Cook. Ready In. 1  Preheat an outdoor gri
143,1,82,s,s,ith the beer mixture as a topping or side.irections. Prep. Cook. Ready In. 1  Preheat an outdoor gril
144,1,13,.,.,th the beer mixture as a topping or side.irections. Prep. Cook. Ready In. 1  Preheat an outdoor grill
145,1,49169,ĠPrep, Prep,h the beer mixture as a topping or side.irections. Prep. Cook. Ready In. 1  Preheat an outdoor grill for 
146,1,13,.,., beer mixture as a topping or side.irections. Prep. Cook. Ready In. 1  Preheat an outdoor grill for m
147,1,12797,ĠCook, Cook,beer mixture as a topping or side.irections. Prep. Cook. Ready In. 1  Preheat an outdoor grill for medium
148,1,13,.,.,mixture as a topping or side.irections. Prep. Cook. Ready In. 1  Preheat an outdoor grill for medium-
149,1,32082,ĠReady, Ready,ixture as a topping or side.irections. Prep. Cook. Ready In. 1  Preheat an outdoor grill for medium-high h
150,1,763,ĠIn, In, as a topping or side.irections. Prep. Cook. Ready In. 1  Preheat an outdoor grill for medium-high heat
151,1,13,.,., a topping or side.irections. Prep. Cook. Ready In. 1  Preheat an outdoor grill for medium-high heat.
152,1,220,Ġ, ,a topping or side.irections. Prep. Cook. Ready In. 1  Preheat an outdoor grill for medium-high heat. 
153,1,16,1,1, topping or side.irections. Prep. Cook. Ready In. 1  Preheat an outdoor grill for medium-high heat. 2
154,1,220,Ġ, ,topping or side.irections. Prep. Cook. Ready In. 1  Preheat an outdoor grill for medium-high heat. 2 
155,1,5075,ĠPre, Pre,opping or side.irections. Prep. Cook. Ready In. 1  Preheat an outdoor grill for medium-high heat. 2  Whe
156,1,20559,heat,heat,ng or side.irections. Prep. Cook. Ready In. 1  Preheat an outdoor grill for medium-high heat. 2  When ho
157,1,459,Ġan, an,"r side.irections. Prep. Cook. Ready In. 1  Preheat an outdoor grill for medium-high heat. 2  When hot, "
158,1,16166,Ġoutdoor, outdoor,"ide.irections. Prep. Cook. Ready In. 1  Preheat an outdoor grill for medium-high heat. 2  When hot, lightly "
159,1,40158,Ġgrill, grill,"tions. Prep. Cook. Ready In. 1  Preheat an outdoor grill for medium-high heat. 2  When hot, lightly oil gr"
160,1,369,Ġfor, for," Prep. Cook. Ready In. 1  Preheat an outdoor grill for medium-high heat. 2  When hot, lightly oil grate."
161,1,11298,Ġmedium, medium,"p. Cook. Ready In. 1  Preheat an outdoor grill for medium-high heat. 2  When hot, lightly oil grate. 3  Com"
162,1,28661,-high,-high,". Ready In. 1  Preheat an outdoor grill for medium-high heat. 2  When hot, lightly oil grate. 3  Combine "
163,1,8798,Ġheat, heat,"dy In. 1  Preheat an outdoor grill for medium-high heat. 2  When hot, lightly oil grate. 3  Combine the b"
164,1,13,.,.,". 1  Preheat an outdoor grill for medium-high heat. 2  When hot, lightly oil grate. 3  Combine the be"
165,1,220,Ġ, ," 1  Preheat an outdoor grill for medium-high heat. 2  When hot, lightly oil grate. 3  Combine the bee"
166,1,17,2,2,"1  Preheat an outdoor grill for medium-high heat. 2  When hot, lightly oil grate. 3  Combine the beer"
167,1,220,Ġ, ,"  Preheat an outdoor grill for medium-high heat. 2  When hot, lightly oil grate. 3  Combine the beer "
168,1,3277,ĠWhen, When," Preheat an outdoor grill for medium-high heat. 2  When hot, lightly oil grate. 3  Combine the beer and o"
169,1,4106,Ġhot, hot,"eat an outdoor grill for medium-high heat. 2  When hot, lightly oil grate. 3  Combine the beer and onion"
170,1,11,",",",","an outdoor grill for medium-high heat. 2  When hot, lightly oil grate. 3  Combine the beer and onions"
171,1,34504,Ġlightly, lightly,"n outdoor grill for medium-high heat. 2  When hot, lightly oil grate. 3  Combine the beer and onions in a la"
172,1,5707,Ġoil, oil,"r grill for medium-high heat. 2  When hot, lightly oil grate. 3  Combine the beer and onions in a large "
173,1,86454,Ġgrate, grate,"ill for medium-high heat. 2  When hot, lightly oil grate. 3  Combine the beer and onions in a large pot; b"
174,1,13,.,.,"r medium-high heat. 2  When hot, lightly oil grate. 3  Combine the beer and onions in a large pot; br"
175,1,220,Ġ, ," medium-high heat. 2  When hot, lightly oil grate. 3  Combine the beer and onions in a large pot; bri"
176,1,18,3,3,"medium-high heat. 2  When hot, lightly oil grate. 3  Combine the beer and onions in a large pot; brin"
177,1,220,Ġ, ,"edium-high heat. 2  When hot, lightly oil grate. 3  Combine the beer and onions in a large pot; bring"
178,1,47912,ĠCombine, Combine,"dium-high heat. 2  When hot, lightly oil grate. 3  Combine the beer and onions in a large pot; bring to a bo"
179,1,279,Ġthe, the,"h heat. 2  When hot, lightly oil grate. 3  Combine the beer and onions in a large pot; bring to a boil. "
180,1,13179,Ġbeer, beer,"at. 2  When hot, lightly oil grate. 3  Combine the beer and onions in a large pot; bring to a boil. 4  Su"
181,1,323,Ġand, and,"  When hot, lightly oil grate. 3  Combine the beer and onions in a large pot; bring to a boil. 4  Submer"
182,1,45697,Ġonions, onions,"en hot, lightly oil grate. 3  Combine the beer and onions in a large pot; bring to a boil. 4  Submerge the "
183,1,304,Ġin, in, lightly oil grate. 3  Combine the beer and onions in a large pot; bring to a boil. 4  Submerge the bra
184,1,264,Ġa, a,ghtly oil grate. 3  Combine the beer and onions in a large pot; bring to a boil. 4  Submerge the bratw
185,1,3544,Ġlarge, large,tly oil grate. 3  Combine the beer and onions in a large pot; bring to a boil. 4  Submerge the bratwurst i
186,1,3419,Ġpot, pot,l grate. 3  Combine the beer and onions in a large pot; bring to a boil. 4  Submerge the bratwurst in th
