step,query_step,query_position,query,token,shift,revisit,threshold,active,event,top1_probability,top2_margin,logit_entropy
0,-1,293,"

",Based,,,,0,0,0.8769396,2.875,0.87727815
1,0,294,Based, on,14.46368801576323,,,0,0,0.9999886,11.625,0.00022536548
2,1,295, on, the,8.857777779467668,0.03062435042315654,,0,0,0.9999504,10.125,0.0008557414
3,2,296, the, given,15.419327835594883,0.35042788733181746,0.03062435042315654,0,0,0.70043594,1.375,1.1813184
4,3,297, given, passages,17.01338417170761,0.49842265219615645,0.3344377104863844,0,0,0.9999466,10.25,0.0009153773
5,4,298, passages,",",24.109512281218272,0.9150705932986464,0.4836231757097225,0,0,0.8508771,1.75,0.62097764
6,5,299,",", here,22.86290103819092,0.8891412551692073,0.8525734021332727,0,0,0.8769246,2.0,0.5709577
7,6,300, here,'s,19.995118861752154,0.5274462338706103,0.9098847256727586,0,0,0.50614554,0.25,1.3582423
8,7,301,'s, a,12.276335637591806,0.21469193009922627,0.9085882587662866,0,0,0.9235338,2.5,0.39596537
9,8,302, a, brief,20.230623076451135,0.9780412998344343,0.9072917918598147,0,0,0.9953227,6.125,0.053966016
10,9,303, brief, explanation,14.932781983801927,0.5113759949072665,0.9560015525469086,0,0,0.5116451,0.625,1.7168812
11,10,304, explanation, of,14.305001472512322,0.3405200833927871,0.9528530172201192,0,0,0.99905443,7.125,0.011433726
12,11,305, of, each,30.543476779015535,1.944129703927775,0.9497044818933297,0,0,0.95742255,3.125,0.2583079
13,12,306, each, type,15.327438199609938,0.6266785206386726,1.4610855018811046,0,0,0.966715,3.625,0.24758759
14,13,307, type, of,25.959116827633366,2.431546250849616,1.412781081676437,0,0,0.999939,9.75,0.0009732103
15,14,308, of, topology,27.43795997193741,2.0543293549772406,2.1390963226965107,0,0,0.9319159,2.625,0.36394662
16,15,309, topology, network,23.120643250594064,1.8331627999554063,2.186355268532572,0,0,0.9819272,4.0,0.13142979
17,16,310, network,":

",20.71587638388015,1.3092563759203546,2.167494423738953,0,0,0.9939681,5.125,0.054392297
18,17,311,":

",1,38.695305156611376,2.6861694997754357,2.1486335789453346,1,1,0.98041326,4.0,0.14912686
19,18,312,1,.,25.245173691496618,1.1846470142124523,2.495202063081071,0,0,0.9999886,12.125,0.00022863665
20,19,313,., Linear,37.88261729340443,2.6487874559297664,2.495202063081071,1,1,0.51174855,0.125,1.210442
21,20,314, Linear, Bus,36.61252899597447,4.341777454325086,2.6581329668911837,1,0,0.99972534,9.125,0.004360656
22,21,315, Bus,:,22.839614857543864,1.9706630151230813,3.1000714884128486,0,0,0.9132846,2.5,0.49699306
23,22,316,:, A,27.347919095456803,3.052125720763031,3.1000714884128486,0,0,0.7928536,2.125,1.2455946
24,23,317, A, network,22.263482421382825,1.55183899843265,3.374538654153545,0,0,0.5113251,0.25,1.4719172
25,24,318, network, where,20.441853396189785,1.6428976127317443,3.374538654153545,0,0,0.9166248,2.75,0.5321769
26,25,319, where, all,21.61111010174578,1.9736333641276707,3.374538654153545,0,0,0.99421465,5.25,0.05449068
27,26,320, all, nodes,17.686446143384575,1.1794442799033085,3.374538654153545,0,0,0.998761,6.75,0.014322554
28,27,321, nodes, are,17.276334980694976,0.9748870618910815,3.374538654153545,0,0,0.99536824,5.375,0.042834464
29,28,322, are, connected,15.915356660541756,1.0123456739307102,3.374538654153545,0,0,0.9999923,12.875,0.00018069998
30,29,323, connected, to,14.749425146874898,0.8709284680548711,3.374538654153545,0,0,0.999611,8.375,0.005732488
31,30,324, to, a,13.946329770511491,0.8299544988394386,3.374538654153545,0,0,0.9996415,8.125,0.0049396083
32,31,325, a, single,13.766394289141637,0.715809999769559,3.374538654153545,0,0,0.88333386,2.75,0.76721513
33,32,326, single, transmission,12.821106550132233,0.9189878968430429,3.374538654153545,0,0,0.8938316,2.875,0.69043005
34,33,327, transmission, medium,17.486801337791967,1.2006546203529755,3.374538654153545,0,0,0.99996185,10.5,0.00067552394
35,34,328, medium, with,14.429473819608898,0.8031996323954642,3.374538654153545,0,0,0.98227376,4.5,0.15426496
36,35,329, with, two,16.58538656638492,1.287828902166688,3.374538654153545,0,0,0.99051607,5.125,0.089982115
37,36,330, two, endpoints,14.189740102997561,0.9573977377712828,3.374538654153545,0,0,0.99972534,9.0,0.0042837597
38,37,331, endpoints,".
",18.520539823546272,1.672333723682502,2.2432564532865107,0,0,0.8493027,2.625,0.85776365
39,38,332,".
",2,36.22551904679946,5.196929880808721,2.2432564532865107,1,1,0.9993574,7.75,0.008657155
40,39,333,2,.,20.761150293317733,2.1027798408240708,2.779457493297933,0,0,0.99993515,11.0,0.00127717
41,40,334,., Distributed,36.16118412845661,5.510627847571394,2.8763173508202335,1,1,0.99971396,8.875,0.0046201646
42,41,335, Distributed, Bus,31.361634157172315,5.062816521155224,5.27535437249939,0,0,0.9999923,12.5,0.00018373133
43,42,336, Bus,:,23.942151538939704,2.69721138878443,5.27535437249939,0,0,0.9977842,6.125,0.023104742
44,43,337,:, A,23.713292259589664,3.7578215003109303,5.27535437249939,0,0,0.99098295,5.25,0.090442516
45,44,338, A, network,18.800643411901756,2.505343091804738,5.27535437249939,0,0,0.99944323,8.25,0.008329471
46,45,339, network, where,18.262456431344738,2.1673475762439525,5.27535437249939,0,0,0.99955374,7.875,0.0060083214
47,46,340, where, all,21.64899296715171,3.758470797738288,5.27535437249939,0,0,0.9977442,6.625,0.02554325
