step,query_step,query_position,query,token,shift,revisit,threshold,active,event,top1_probability,top2_margin,logit_entropy
0,-1,293,"

",Based,,,,0,0,0.8769396,2.875,0.87727815
1,0,294,Based, on,14.46368801576323,,,0,0,0.9999886,11.625,0.00022536548
2,1,295, on, the,8.857777779467668,0.03062435042315654,,0,0,0.9999504,10.125,0.0008557414
3,2,296, the, given,15.419327835594883,0.35042788733181746,0.03062435042315654,0,0,0.70043594,1.375,1.1813184
4,3,297, given, passages,17.01338417170761,0.49842265219615645,0.3344377104863844,0,0,0.9999466,10.25,0.0009153773
5,4,298, passages,",",24.109512281218272,0.9150705932986464,0.4836231757097225,0,0,0.8508771,1.75,0.62097764
6,5,299,",", here,22.86290103819092,0.8891412551692073,0.8525734021332727,0,0,0.8769246,2.0,0.5709577
7,6,300, here,'s,19.995118861752154,0.5274462338706103,0.9098847256727586,0,0,0.50614554,0.25,1.3582423
8,7,301,'s, a,12.276335637591806,0.21469193009922627,0.9085882587662866,0,0,0.9235338,2.5,0.39596537
9,8,302, a, brief,20.230623076451135,0.9780412998344343,0.9072917918598147,0,0,0.9953227,6.125,0.053966016
10,9,303, brief, explanation,14.932781983801927,0.5113759949072665,0.9560015525469086,0,0,0.5116451,0.625,1.7168812
11,10,304, explanation, of,14.305001472512322,0.3405200833927871,0.9528530172201192,0,0,0.99905443,7.125,0.011433726
12,11,305, of, each,30.543476779015535,1.944129703927775,0.9497044818933297,0,0,0.95742255,3.125,0.2583079
13,12,306, each, type,15.327438199609938,0.6266785206386726,1.4610855018811046,0,0,0.966715,3.625,0.24758759
14,13,307, type, of,25.959116827633366,2.431546250849616,1.412781081676437,0,0,0.999939,9.75,0.0009732103
15,14,308, of, topology,27.43795997193741,2.0543293549772406,2.1390963226965107,0,0,0.9319159,2.625,0.36394662
16,15,309, topology, network,23.120643250594064,1.8331627999554063,2.186355268532572,0,0,0.9819272,4.0,0.13142979
17,16,310, network,":

",20.71587638388015,1.3092563759203546,2.167494423738953,0,0,0.9939681,5.125,0.054392297
18,17,311,":

",1,38.695305156611376,2.6861694997754357,2.1486335789453346,1,1,0.98041326,4.0,0.14912686
19,18,312,1,.,25.245173691496618,1.1846470142124523,2.495202063081071,0,0,0.9999886,12.125,0.00022863665
20,19,313,., Linear,37.88261729340443,2.6487874559297664,2.495202063081071,1,1,0.51174855,0.125,1.210442
21,20,314, Linear, Bus,36.61252899597447,4.341777454325086,2.6581329668911837,1,0,0.99972534,9.125,0.004360656
22,21,315, Bus,:,22.839614857543864,1.9706630151230813,3.1000714884128486,0,0,0.9132846,2.5,0.49699306
23,22,316,:, A,27.347919095456803,3.052125720763031,3.1000714884128486,0,0,0.7928536,2.125,1.2455946
24,23,317, A, Linear,22.263482421382825,1.55183899843265,3.374538654153545,0,0,0.5113251,0.25,1.4719172
25,24,318, Linear, Bus,24.05334061730779,2.519033555232029,3.374538654153545,0,0,0.9986543,6.625,0.014961909
26,25,319, Bus, network,16.09229248523506,1.1043748885705718,3.374538654153545,0,0,0.55104977,0.375,1.3448385
27,26,320, network, has,19.382392927362552,1.6061881397309314,3.374538654153545,0,0,0.44391066,0.25,1.682968
28,27,321, has, all,20.407737270253342,1.594871292995696,3.374538654153545,0,0,0.8144283,2.0,0.9655967
29,28,322, all, nodes,17.603458846548353,1.3385268842451572,3.374538654153545,0,0,0.9782148,4.375,0.17905146
30,29,323, nodes, connected,16.63589231207372,0.8857701010764971,3.374538654153545,0,0,0.99987406,9.5,0.002035365
31,30,324, connected, to,14.463064034380537,0.7117817395682661,3.374538654153545,0,0,0.99987406,9.875,0.0021009857
32,31,325, to, a,13.098370280951457,0.7247594972720856,3.374538654153545,0,0,0.9978775,6.25,0.023029337
33,32,326, a, single,14.022770717521619,0.8987351482792056,3.374538654153545,0,0,0.8663528,2.625,0.844015
34,33,327, single, transmission,12.884266795244056,1.0273767821846675,3.374538654153545,0,0,0.9066441,3.0,0.62830806
35,34,328, transmission, medium,18.086513225761564,1.427356383409803,3.374538654153545,0,0,0.9999695,10.875,0.00052030204
36,35,329, medium, with,14.392040736208706,0.8109986394119328,3.374538654153545,0,0,0.98801225,4.875,0.110284485
37,36,330, with, two,16.98077790972254,1.57948725737256,3.374538654153545,0,0,0.9896097,5.0,0.09653251
38,37,331, two, endpoints,14.742976553103691,1.2670540574519298,2.6523065966147796,0,0,0.99985695,9.625,0.002426495
39,38,332, endpoints,.,17.97354842483478,1.5794898642666304,2.6523065966147796,0,0,0.66429496,1.125,1.3140734
40,39,333,., If,26.63148300726387,4.407568028280315,1.8343994936062058,1,1,0.64383096,2.375,2.2125838
41,40,334, If, there,25.849906287110073,4.263974417749425,2.9911671734941008,1,0,0.73441327,1.375,1.2498031
42,41,335, there, are,22.115818504599325,3.685466356933833,4.299872820382148,0,0,0.9456584,2.875,0.31184033
43,42,336, are, more,21.509945220871607,3.392614751150354,4.299872820382148,0,0,0.8106731,1.5,0.7665287
44,43,337, more, than,16.194664935312588,2.392471757325879,4.299872820382148,0,0,0.9947724,5.5,0.053623464
45,44,338, than, two,13.906135700317162,1.7619779103194286,4.299872820382148,0,0,0.9996415,8.0,0.004832553
46,45,339, two, endpoints,19.76142532845678,3.397606661153137,4.299872820382148,0,0,0.9988619,7.125,0.014819702
47,46,340, endpoints,",",21.476798207161472,3.780123817389271,4.299872820382148,0,0,0.5821467,0.5,1.3647559
