case,source_id,seed,judgment,step,offset,query,token,event,active,revisit,top2_margin,logit_entropy,hops,route_divergence,relation_residual,relation_shuffled,relation_coverage,valid_layers
simmer_time,14375,0,,55,0, and, simmer,0,0,2.20114164627963,9.75,0.0029246835,1,,0.24294935271609575,0.24964584386907518,1.0,32
simmer_time,14375,0,,55,0, and, simmer,0,0,2.20114164627963,9.75,0.0029246835,2,0.17250500955889303,0.2547378419868408,0.261701375246048,1.0,31
simmer_time,14375,0,,55,0, and, simmer,0,0,2.20114164627963,9.75,0.0029246835,3,0.2418039321899414,0.26414675389726955,0.2726269245147705,1.0,30
simmer_time,14375,0,,56,1, simmer, for,0,0,3.5503858246428486,9.125,0.0024859635,1,,0.18667415022355272,0.19074192890548147,1.0,32
simmer_time,14375,0,,56,1, simmer, for,0,0,3.5503858246428486,9.125,0.0024859635,2,0.16680523657029675,0.1922915449305888,0.19837002612410054,1.0,31
simmer_time,14375,0,,56,1, simmer, for,0,0,3.5503858246428486,9.125,0.0024859635,3,0.22452057202657064,0.19900006651878357,0.20646438437203565,1.0,30
simmer_time,14375,0,,57,2, for, ,0,0,3.2585788164476392,10.0,0.0018716718,1,,0.20732407944160514,0.21743382164277136,1.0,32
simmer_time,14375,0,,57,2, for, ,0,0,3.2585788164476392,10.0,0.0018716718,2,0.19920333739249937,0.21661576622676465,0.2246477793781988,1.0,31
simmer_time,14375,0,,57,2, for, ,0,0,3.2585788164476392,10.0,0.0018716718,3,0.27150824864705403,0.22176584079861641,0.2308128741880258,1.0,30
simmer_time,14375,0,,58,3, ,15,0,0,4.5345566802506205,3.625,0.18272972,1,,0.22966951041598804,0.24730239040218294,1.0,32
simmer_time,14375,0,,58,3, ,15,0,0,4.5345566802506205,3.625,0.18272972,2,0.17422577642625378,0.2540633633973137,0.26540153689922824,1.0,31
simmer_time,14375,0,,58,3, ,15,0,0,4.5345566802506205,3.625,0.18272972,3,0.26850118637084963,0.2635942228138447,0.2745865779618422,1.0,30
simmer_time,14375,0,,59,4,15, to,0,0,4.498488235141336,3.75,0.15793985,1,,0.1869569843984209,0.20210040919482708,1.0,32
simmer_time,14375,0,,59,4,15, to,0,0,4.498488235141336,3.75,0.15793985,2,0.20991237701908236,0.20394995231782237,0.2141827964974988,1.0,31
simmer_time,14375,0,,59,4,15, to,0,0,4.498488235141336,3.75,0.15793985,3,0.2959601402282715,0.21574033362170061,0.2242216284076373,1.0,30
