control,response_id,source_id,token_index,token_id,error_entropy,normal_entropy,difference,normal_tokens,normal_sources
same_token,12141,14340,189,23212,2.863121509552002,2.133301481604576,0.7298200279474258,8,8
same_token_clause_start,12141,14340,189,23212,2.863121509552002,1.8930969408580236,0.9700245686939784,7,7
same_token,12429,14389,145,55915,2.986269474029541,2.8272017096028184,0.15906776442672266,33,33
same_token_clause_start,12429,14389,145,55915,2.986269474029541,2.832744634151459,0.1535248398780822,30,30
same_token,12471,14396,27,13313,2.883199453353882,0.48015434481203556,2.4030451085418463,5,2
same_response_token,12471,14396,27,13313,2.883199453353882,0.7900649048388004,2.0931345485150814,4,1
same_token,12639,14424,138,19,0.07063674926757812,0.24128607249957093,-0.1706493232319928,57,46
same_token_clause_start,12639,14424,138,19,0.07063674926757812,0.20816002917677365,-0.13752327990919552,37,37
same_token,12675,14430,120,1418,1.7709102630615234,1.0500972925995788,0.7208129704619446,24,16
same_response_token,12675,14430,120,1418,1.7709102630615234,1.1797466278076172,0.5911636352539062,1,1
same_token,12693,14433,111,9822,0.6094623804092407,0.4850487198709743,0.12441366053826641,4,1
same_response_token,12693,14433,111,9822,0.6094623804092407,0.4850487198709743,0.12441366053826641,4,1
same_token,12711,14436,53,2057,2.254672050476074,2.525888482729594,-0.27121643225352,10,8
same_token_clause_start,12711,14436,53,2057,2.254672050476074,2.6008338133494058,-0.34616176287333156,6,6
same_token,12855,14460,126,8468,0.7988642454147339,0.852331717425647,-0.053467472010913064,21,5
same_response_token,12855,14460,126,8468,0.7988642454147339,0.951751708984375,-0.1528874635696411,1,1
same_token_clause_start,12855,14460,126,8468,0.7988642454147339,0.6860017544880975,0.11286249092663636,15,4
same_token,13383,15150,246,20,1.3381069898605347,0.3070775245374065,1.0310294653231282,40,31
same_token_clause_start,13383,15150,246,20,1.3381069898605347,0.3493399146424893,0.9887670752180453,26,26
same_token,13461,15163,204,21,0.16249503195285797,0.06023400121793041,0.10226103073492757,24,17
same_token_clause_start,13461,15163,204,21,0.16249503195285797,0.12537084671203047,0.0371241852408275,8,8
same_token,13503,15170,17,9,3.22042179107666,0.39950579765097977,2.8209159934256802,120,18
same_response_token,13503,15170,17,9,3.22042179107666,0.10921101232192346,3.1112107787547365,7,1
same_token_clause_start,13503,15170,17,9,3.22042179107666,0.391799071139591,2.8286227199370693,117,18
same_token,13629,15191,345,578,1.5078965425491333,2.924103090104958,-1.4162065475558245,65,40
same_token_clause_start,13629,15191,345,578,1.5078965425491333,3.2370046910409833,-1.72910814849185,46,34
same_token,13683,15200,106,2638,2.671576976776123,1.0191762447357178,1.6524007320404053,1,1
same_token,13815,15222,21,9,0.7121683359146118,0.39950579765097977,0.31266253826363205,120,18
same_response_token,13815,15222,21,9,0.7121683359146118,0.02112267674461831,0.6910456591699935,26,1
same_token_clause_start,13815,15222,21,9,0.7121683359146118,0.391799071139591,0.3203692647750208,117,18
same_token,13827,15224,6,1618,1.5981855392456055,1.5333023998472426,0.06488313939836288,54,54
same_token,13875,15232,112,99575,1.664757251739502,1.1608898241538554,0.5038674275856465,42,22
same_response_token,13875,15232,112,99575,1.664757251739502,1.5884577631950378,0.07629948854446411,2,1
same_token_clause_start,13875,15232,112,99575,1.664757251739502,1.456380953391393,0.208376298348109,16,9
same_token,13893,15235,154,9,0.22449970245361328,0.39950579765097977,-0.17500609519736648,120,18
same_response_token,13893,15235,154,9,0.22449970245361328,0.4604806455705936,-0.2359809431169803,3,1
same_token_clause_start,13893,15235,154,9,0.22449970245361328,0.391799071139591,-0.16729936868597772,117,18
same_token,14049,15261,20,12465,3.2173609733581543,1.133596889007216,2.083764084350938,148,51
same_response_token,14049,15261,20,12465,3.2173609733581543,0.4582735002040863,2.759087473154068,2,1
same_token_clause_start,14049,15261,20,12465,3.2173609733581543,1.4489482914408047,1.7684126819173496,61,24
