step,layer,source_mass,valid_heads,dispersion,disagreement,shift,shift_baseline
0,0,0.3398487064987421,32,5.833322393415539,0.8840894701410811,,
0,1,0.05842000059783459,32,6.202803330208161,0.7194554913397839,,
0,2,0.035086724907159805,32,6.174919891470882,0.6365538171485312,,
0,3,0.03218194283545017,32,6.202063335188419,0.6427888833874098,,
0,4,0.05121433548629284,32,5.721084857205738,0.6285596716671895,,
0,5,0.03935200907289982,32,5.615093206001001,0.717072341209871,,
0,6,0.04598160833120346,32,5.58895854642149,0.7446272559204807,,
0,7,0.04361536540091038,32,5.15811110651161,0.5203339694328228,,
0,8,0.04318004101514816,32,4.6745275777261295,0.5547645727012469,,
0,9,0.027002695947885513,32,4.724892526643238,0.716699940623263,,
0,10,0.03941035456955433,32,4.658893300259436,0.7137433678790499,,
0,11,0.057948268949985504,32,4.388685355553688,0.6142966124833888,,
0,12,0.08634207956492901,32,4.520919486319888,0.4454637248267286,,
0,13,0.10420184582471848,32,4.2654350470309375,0.534608975989892,,
0,14,0.08441714383661747,32,4.5064719884315725,0.769091541235162,,
0,15,0.03749970532953739,32,4.557063129468288,1.0379285132465945,,
0,16,0.03087785467505455,32,4.719322416790566,0.8158544464399116,,
0,17,0.029376816004514694,32,4.92068258821272,0.9206980778481695,,
0,18,0.040365878492593765,32,5.616656728959989,0.681600531550079,,
0,19,0.046684276312589645,32,5.838168319334738,0.709119730293069,,
0,20,0.05148661509156227,32,5.818645231197897,0.7548951028381294,,
0,21,0.025902247056365013,32,5.540444041596704,0.9018589033658806,,
0,22,0.04099191166460514,32,5.480060110561304,0.8440314825802986,,
0,23,0.036308592185378075,32,5.9346701296514635,0.7589038519904765,,
0,24,0.04881219379603863,32,5.632093489648678,0.8455114068603002,,
0,25,0.025711044669151306,32,5.647059799350765,0.9179324102800566,,
0,26,0.051475463435053825,32,5.284261893108322,0.8868684479760409,,
0,27,0.06344379857182503,32,5.596596026099638,0.8959533749115174,,
0,28,0.038528261706233025,32,5.687989487480241,0.9646244064715477,,
0,29,0.0390541423112154,32,5.972059266731685,0.7707062075509494,,
0,30,0.13891502656042576,32,5.523097302015293,0.8961582295415846,,
0,31,0.07255584374070168,32,5.7891217121753265,0.9133025939824044,,
1,0,0.3264491632580757,32,5.900262827018201,0.7088835037234738,0.32788899291038054,
1,1,0.07959425635635853,32,6.168956952055982,0.7356159148192098,0.33905891724057796,
1,2,0.03938567079603672,32,6.107965769166244,0.7551496321013182,0.394746134256018,
1,3,0.04408196918666363,32,6.3619902938845065,0.5708385178884958,0.29215553093656665,
1,4,0.03451937809586525,32,5.7539250742836,0.7040842369687077,0.27945756576547753,
1,5,0.029595447704195976,32,5.858411977307465,0.7017327791519641,0.331513211187108,
1,6,0.024007540196180344,32,5.799892089589271,0.6995064069348533,0.33590895466540505,
1,7,0.024600496515631676,32,5.45169013456554,0.5285183748326165,0.29943735845500796,
1,8,0.014921827241778374,32,4.869358346490426,0.6831711074435631,0.2859756763094875,
1,9,0.010717140510678291,32,4.486572185363684,0.8304535259724579,0.2776834847012338,
1,10,0.010473381727933884,32,4.725313438372652,0.8378479216603303,0.31391693797874454,
