step,query_step,query_position,query,token,shift,revisit,threshold,active,event,top1_probability,top2_margin,logit_entropy
0,-1,534,"

",To,,,,0,0,0.44672805,0.125,1.8990703
1,0,535,To, cook,33.01613331879109,,,0,0,0.99950033,8.625,0.0077361623
2,1,536, cook, br,27.80393556049663,0.6780731139531686,,0,0,0.9694033,3.5,0.20643045
3,2,537, br,ats,39.22907449998338,1.4284669147110534,0.6780731139531686,0,0,1.0,15.125,1.279985e-05
4,3,538,ats,",",47.4033255018577,2.6268205089112753,1.3909472246731591,0,0,0.84200096,2.125,0.8722577
5,4,539,",", follow,47.15202872716753,3.464365322678812,2.506985149491253,0,0,0.45137712,0.125,2.0599663
6,5,540, follow, these,38.59181208178059,1.7505291973808799,3.3387336006136814,0,0,0.6002756,0.625,1.3758041
7,6,541, these, steps,29.7691568444009,1.2631101687652373,3.2968563599253047,0,0,0.9598508,3.5,0.3094588
8,7,542, steps,":

",32.398588005507364,1.6238846549031303,3.254979119236928,0,0,0.40401804,0.125,1.7942529
9,8,543,":

",1,50.712789538840724,4.012624932334482,3.2131018785485503,0,0,0.90591466,2.5,0.5761502
10,9,544,1,.,43.71721831767466,3.3143848413641583,3.8207340689549976,0,0,0.99953663,8.625,0.0072604357
11,10,545,., Pr,48.55041399068739,5.358019653205307,3.793321088472214,0,0,0.68103474,1.0,1.3172498
12,11,546, Pr,ick,48.918066641150084,5.456308321340874,4.752592028813434,0,0,0.9999923,12.375,0.0001611135
13,12,547,ick, the,38.55388499101355,3.6324253690212522,5.4071639872730906,0,0,0.86265755,1.875,0.6238221
14,13,548, the, brat,34.77986428552239,3.4028487119531143,5.402249553866312,0,0,0.96260077,3.25,0.23140444
15,14,549, brat,w,36.07704129995217,3.067440928954878,5.397335120459534,0,0,0.9999962,12.5,9.2980954e-05
16,15,550,w,urst,56.11800431974974,6.982887079144945,5.392420687052756,0,0,0.9999923,12.75,0.00012979298
17,16,551,urst, with,57.98277746915413,8.644700168399382,5.914281948682094,1,1,0.987432,4.375,0.098730005
18,17,552, with, a,33.97199209663404,2.5887852832430154,7.398340351458554,0,0,0.9998588,8.875,0.002054496
19,18,553, a, fork,24.856640408288506,1.0422993160726435,7.398340351458554,0,0,0.99998474,11.125,0.00026792646
20,19,554, fork, to,36.333004857652284,2.9881020592954464,7.398340351458554,0,0,0.9074589,2.625,0.56362456
21,20,555, to, prevent,32.93284565148197,2.0481923383151632,7.398340351458554,0,0,0.9999809,11.375,0.00038910532
22,21,556, prevent, them,28.287690696576426,1.1647670880396506,7.398340351458554,0,0,0.869241,2.5,0.79032904
23,22,557, them, from,26.17100103116426,1.4230824860914977,7.398340351458554,0,0,0.9999923,12.125,0.0001269736
24,23,558, from, exploding,28.804203484690706,1.80679809205811,7.398340351458554,0,0,0.98873997,4.5,0.091812775
25,24,559, exploding,".
",35.74096610408409,2.1202003949252326,7.398340351458554,0,0,0.5116168,0.125,1.2293319
26,25,560,".
",2,50.54154744853102,6.0852270460022515,7.398340351458554,0,0,0.9938999,5.5,0.067761585
27,26,561,2,.,40.28786068454106,4.895352736917714,7.398340351458554,0,0,0.9999714,11.75,0.00060988317
28,27,562,., Place,43.085914146982134,5.701319082355278,7.398340351458554,0,0,0.42672154,0.625,2.6205468
29,28,563, Place, the,40.72884280255465,5.467247373178942,7.398340351458554,0,0,0.90391415,2.875,0.5902604
30,29,564, the, brat,28.160844130068714,2.104205290895362,7.398340351458554,0,0,0.9944916,5.25,0.052018914
31,30,565, brat,w,39.1294659287865,5.493468907394098,7.398340351458554,0,0,1.0,16.0,1.02574695e-05
32,31,566,w,urst,53.50711410774454,5.024573490332517,7.398340351458554,0,0,0.9999962,12.75,0.00010092212
33,32,567,urst, in,58.42364694420975,6.347958771245014,6.725095326601534,0,0,0.9217177,3.125,0.4892836
34,33,568, in, a,35.94811497067863,4.499146648726407,6.150909977312942,0,0,0.99973875,9.0,0.004009152
35,34,569, a, large,26.149732494195696,1.9041281300484894,6.150909977312942,0,0,0.98368555,4.25,0.13100362
36,35,570, large, pot,23.320932574912668,1.1497238398937513,6.150909977312942,0,0,0.6789518,0.75,0.91112226
37,36,571, pot, with,31.35079572714161,2.236449378908606,6.150909977312942,0,0,0.9508111,3.0,0.29886866
38,37,572, with, the,33.809583292609055,2.4344419515093176,6.150909977312942,0,0,0.7539302,1.25,0.993438
