position,passage,token_id,token_piece,token,context
62,1,17,2,2,2 Pingbacks 1  ». […] [2] http://www.discover-peru.
63,1,49757,ĠPing, Ping,2 Pingbacks 1  ». […] [2] http://www.discover-peru.org/i
64,1,25082,backs,backs,2 Pingbacks 1  ». […] [2] http://www.discover-peru.org/inca-t
65,1,220,Ġ, ,2 Pingbacks 1  ». […] [2] http://www.discover-peru.org/inca-te
66,1,16,1,1,2 Pingbacks 1  ». […] [2] http://www.discover-peru.org/inca-tex
67,1,220,Ġ, ,2 Pingbacks 1  ». […] [2] http://www.discover-peru.org/inca-text
68,1,88991,ĠÂ»., ».,2 Pingbacks 1  ». […] [2] http://www.discover-peru.org/inca-textile
69,1,28624,Ġ[âĢ¦], […],2 Pingbacks 1  ». […] [2] http://www.discover-peru.org/inca-textile-and
70,1,510,Ġ[, [,2 Pingbacks 1  ». […] [2] http://www.discover-peru.org/inca-textile-and-c
71,1,17,2,2,2 Pingbacks 1  ». […] [2] http://www.discover-peru.org/inca-textile-and-cl
72,1,60,],],2 Pingbacks 1  ». […] [2] http://www.discover-peru.org/inca-textile-and-clo
73,1,1795,Ġhttp, http,2 Pingbacks 1  ». […] [2] http://www.discover-peru.org/inca-textile-and-clothing
74,1,1129,://,://,2 Pingbacks 1  ». […] [2] http://www.discover-peru.org/inca-textile-and-clothing/ [
75,1,2185,www,www,2 Pingbacks 1  ». […] [2] http://www.discover-peru.org/inca-textile-and-clothing/ […] 
76,1,7929,.dis,.dis,2 Pingbacks 1  ». […] [2] http://www.discover-peru.org/inca-textile-and-clothing/ […] […] 
77,1,3773,cover,cover,2 Pingbacks 1  ». […] [2] http://www.discover-peru.org/inca-textile-and-clothing/ […] […] 2  th
78,1,17453,-per,-per,2 Pingbacks 1  ». […] [2] http://www.discover-peru.org/inca-textile-and-clothing/ […] […] 2  the ri
79,1,84,u,u,2 Pingbacks 1  ». […] [2] http://www.discover-peru.org/inca-textile-and-clothing/ […] […] 2  the ric
80,1,2726,.org,.org,2 Pingbacks 1  ». […] [2] http://www.discover-peru.org/inca-textile-and-clothing/ […] […] 2  the richest
81,1,18480,/in,/in,ngbacks 1  ». […] [2] http://www.discover-peru.org/inca-textile-and-clothing/ […] […] 2  the richest co
82,1,936,ca,ca,acks 1  ». […] [2] http://www.discover-peru.org/inca-textile-and-clothing/ […] […] 2  the richest colo
83,1,9529,-text,-text,ks 1  ». […] [2] http://www.discover-peru.org/inca-textile-and-clothing/ […] […] 2  the richest colors an
84,1,458,ile,ile, ». […] [2] http://www.discover-peru.org/inca-textile-and-clothing/ […] […] 2  the richest colors and w
85,1,9976,-and,-and, […] [2] http://www.discover-peru.org/inca-textile-and-clothing/ […] […] 2  the richest colors and was d
86,1,1824,-c,-c, [2] http://www.discover-peru.org/inca-textile-and-clothing/ […] […] 2  the richest colors and was del
87,1,385,lo,lo,2] http://www.discover-peru.org/inca-textile-and-clothing/ […] […] 2  the richest colors and was delic
88,1,1626,thing,thing, http://www.discover-peru.org/inca-textile-and-clothing/ […] […] 2  the richest colors and was delicately
89,1,14,/,/,://www.discover-peru.org/inca-textile-and-clothing/ […] […] 2  the richest colors and was delicately 
90,1,28624,Ġ[âĢ¦], […],//www.discover-peru.org/inca-textile-and-clothing/ […] […] 2  the richest colors and was delicately embr
91,1,28624,Ġ[âĢ¦], […],w.discover-peru.org/inca-textile-and-clothing/ […] […] 2  the richest colors and was delicately embroide
92,1,220,Ġ, ,scover-peru.org/inca-textile-and-clothing/ […] […] 2  the richest colors and was delicately embroider
93,1,17,2,2,cover-peru.org/inca-textile-and-clothing/ […] […] 2  the richest colors and was delicately embroidere
94,1,220,Ġ, ,over-peru.org/inca-textile-and-clothing/ […] […] 2  the richest colors and was delicately embroidered
95,1,279,Ġthe, the,ver-peru.org/inca-textile-and-clothing/ […] […] 2  the richest colors and was delicately embroidered wit
96,1,57471,Ġrichest, richest,peru.org/inca-textile-and-clothing/ […] […] 2  the richest colors and was delicately embroidered with gold a
97,1,8146,Ġcolors, colors,/inca-textile-and-clothing/ […] […] 2  the richest colors and was delicately embroidered with gold and silv
98,1,323,Ġand, and,extile-and-clothing/ […] […] 2  the richest colors and was delicately embroidered with gold and silver t
99,1,574,Ġwas, was,le-and-clothing/ […] […] 2  the richest colors and was delicately embroidered with gold and silver threa
100,1,61353,Ġdelic, delic,"nd-clothing/ […] […] 2  the richest colors and was delicately embroidered with gold and silver thread”, ac"
101,1,2718,ately,ately,"thing/ […] […] 2  the richest colors and was delicately embroidered with gold and silver thread”, accordi"
102,1,93759,Ġembroidered, embroidered,"/ […] […] 2  the richest colors and was delicately embroidered with gold and silver thread”, according to this a"
103,1,449,Ġwith, with," the richest colors and was delicately embroidered with gold and silver thread”, according to this articl"
104,1,6761,Ġgold, gold,"richest colors and was delicately embroidered with gold and silver thread”, according to this article on "
105,1,323,Ġand, and,"st colors and was delicately embroidered with gold and silver thread”, according to this article on Inca"
106,1,15310,Ġsilver, silver,"olors and was delicately embroidered with gold and silver thread”, according to this article on Inca textil"
107,1,4617,Ġthread, thread,"nd was delicately embroidered with gold and silver thread”, according to this article on Inca textile and c"
108,1,9520,"âĢĿ,","”,","delicately embroidered with gold and silver thread”, according to this article on Inca textile and clo"
109,1,4184,Ġaccording, according,"licately embroidered with gold and silver thread”, according to this article on Inca textile and clothing. The"
110,1,311,Ġto, to,"mbroidered with gold and silver thread”, according to this article on Inca textile and clothing. The ar"
111,1,420,Ġthis, this,"oidered with gold and silver thread”, according to this article on Inca textile and clothing. The article"
112,1,4652,Ġarticle, article,"ed with gold and silver thread”, according to this article on Inca textile and clothing. The article and Pro"
113,1,389,Ġon, on,"gold and silver thread”, according to this article on Inca textile and clothing. The article and Profes"
114,1,763,ĠIn, In,"d and silver thread”, according to this article on Inca textile and clothing. The article and Professor"
115,1,936,ca,ca,"nd silver thread”, according to this article on Inca textile and clothing. The article and Professor O"
116,1,66638,Ġtextile, textile," silver thread”, according to this article on Inca textile and clothing. The article and Professor O’Toole a"
117,1,323,Ġand, and,"thread”, according to this article on Inca textile and clothing. The article and Professor O’Toole also "
