step,query_position,query,token,shift,revisit,threshold,event,top1_probability,top2_margin,logit_entropy
0,433,"

",Based,,,,0,0.39813533425331116,0.0,
1,434,Based, on,50.764749929828646,,,0,0.9999313354492188,10.0,
2,435, on, the,36.36516324605854,9.657740040359576,,0,0.9980049133300781,6.75,
3,436, the, given,30.87849782571222,7.733161606747704,9.657740040359576,0,0.6804634928703308,1.375,
4,437, given, passages,29.72948230380327,9.1676653917567,9.561511118678983,0,0.9999199509620667,10.25,
5,438, passages,",",43.54101396592802,19.48854906752041,9.608732575499287,0,0.9924620985984802,5.125,
6,439,",", here,44.608406084907216,20.11016019831527,18.013927713446282,0,0.4741366505622864,0.25,
7,440, here,'s,45.19018733544317,18.733486442545072,19.985837972156297,0,0.4980950653553009,0.625,
8,441,'s, a,27.47169053998772,7.646512716545609,19.954757415616555,0,0.8208661079406738,2.375,
9,442, a, brief,35.39988655872218,12.56140595166482,19.92367685907681,0,0.9937956929206848,5.375,
10,443, brief, answer,32.162483039322375,11.01475027049235,19.89259630253707,0,0.832902729511261,1.875,
11,444, answer, about,38.5945670574784,15.786954123986295,19.861515745997327,0,0.7565822005271912,1.875,
12,445, about, In,46.099667526106686,21.098318077353575,19.83043518945758,0,0.9991763234138489,7.875,
13,446, In,ca,45.277685081706686,20.067498702976604,20.604239137834423,0,0.9999809265136719,10.875,
14,447,ca, clothes,42.71413710717362,18.39612409949619,20.554831243882507,0,0.9858193397521973,4.25,
15,448, clothes,":

",55.09720230318842,28.97492736862066,20.50542334993059,0,0.9778248071670532,4.125,
16,449,":

",In,63.797169515484455,35.97406285411947,23.855131329297052,0,0.6227952837944031,1.125,
17,450,In,ca,59.21230892477547,31.549496378218272,31.074668014270294,1,0.995723307132721,5.5,
18,451,ca, clothing,45.836130046289526,20.48208216126791,32.65563799719357,0,0.48219791054725647,0.375,
19,452, clothing, consisted,40.89176877507922,15.769781889371169,32.65563799719357,0,0.4030543863773346,0.375,
20,453, consisted, of,39.15407551964497,14.250684933758595,32.65563799719357,0,0.9765891432762146,3.75,
21,454, of, woven,39.43483132170888,13.380091099937324,32.65563799719357,0,0.9107362031936646,2.875,
22,455, woven, or,42.01077644300456,15.249473997759269,32.65563799719357,0,0.9963180422782898,6.0,
23,456, or, kn,39.587140626445674,14.530874420784352,32.65563799719357,0,0.9999504089355469,10.0,
24,457, kn,itted,58.12098797233294,29.442685154112695,32.65563799719357,0,1.0,16.0,
25,458,itted, textiles,68.25995241959377,37.191322091493035,32.65563799719357,1,0.9998301863670349,9.625,
26,459, textiles,",",40.88346698381177,14.703061085130422,36.27837766346286,0,0.7377166152000427,1.75,
27,460,",", which,45.76411072452068,17.082630052984257,36.27837766346286,0,0.37186887860298157,0.25,
28,461, which, were,42.276142736758395,14.456040829013268,36.27837766346286,0,0.993503749370575,5.625,
29,462, were, worn,30.340508136001183,8.065891423814229,36.27837766346286,0,0.5597713589668274,1.25,
30,463, worn, whole,34.16252100434033,9.139996075716576,36.27837766346286,0,0.999845564365387,9.75,
31,464, whole, and,36.48959753707814,11.549937766007684,36.27837766346286,0,0.8817212581634521,2.375,
32,465, and, held,50.15742397132283,21.280734426062512,36.27837766346286,0,0.9768405556678772,3.875,
33,466, held, together,45.34727336929325,18.24900775434608,32.95995280653696,0,0.9999809265136719,11.0,
34,467, together, by,32.450737274857765,9.770689723224683,31.37984438845778,0,0.962670624256134,3.25,
35,468, by, metal,40.52186148223215,14.583784951733351,31.37984438845778,0,0.6512985229492188,0.625,
36,469, metal, pins,38.189722110953745,13.125101157751253,31.37984438845778,0,1.0,14.5,
37,470, pins,.,54.82787363958381,27.169486467821766,31.37984438845778,0,0.9985095262527466,6.75,
38,471,., They,64.8235745016502,34.1145535739396,31.37984438845778,1,0.45436057448387146,1.125,
39,472, They, wore,49.17945764599865,21.631358414988874,34.88374570332796,0,0.8787378072738647,3.0,
40,473, wore, simple,40.172707799774784,14.484470799825283,34.88374570332796,0,0.6281996965408325,0.625,
41,474, simple, tun,35.297691286654334,11.41368087915178,34.88374570332796,0,0.989690899848938,5.0,
42,475, tun,ics,61.62159542365748,33.84348033431703,28.905753244351224,1,1.0,17.625,
43,476,ics, (,63.22488952815835,33.72802921379092,33.911248644222674,0,0.5780980587005615,1.0,
44,477, (,men,51.732512180738155,23.18499653475145,33.911248644222674,0,0.9016463756561279,3.0,
45,478,men,),53.02229338278414,23.885497213191933,33.911248644222674,0,0.9765295386314392,4.0,
46,479,), and,49.74737828939135,21.24997741044197,33.911248644222674,0,0.9700654745101929,3.5,
47,480, and, full,53.741248127090984,23.164793379543916,33.911248644222674,0,0.9425072073936462,2.875,
48,481, full,-length,56.10560360364056,24.93216541570507,33.911248644222674,0,0.9989457130432129,7.0,
49,482,-length, skirts,43.68857865516467,15.174289467017179,33.911248644222674,0,0.9992526173591614,8.0,
50,483, skirts, (,52.95704810381943,22.582780326429013,33.911248644222674,0,0.9988219141960144,7.25,
51,484, (,women,63.00566914882592,30.1217717545428,33.911248644222674,0,0.9999770522117615,12.0,
52,485,women,).,68.90562758011848,33.36776847090797,33.911248644222674,0,0.6093855500221252,0.625,
53,486,)., Nob,74.08654555138342,35.07270778926069,33.911248644222674,1,0.5013874173164368,0.875,
54,487, Nob,les,90.15516359661848,48.84017233250786,34.354092127769874,0,0.9946888089179993,5.25,
55,488,les, wore,50.15087363810197,18.313693530719387,38.51457392507248,0,0.9005395770072937,2.875,
56,489, wore, better,46.78502258849126,13.724651364194393,38.51457392507248,0,0.5469221472740173,0.875,
57,490, better, quality,40.414675927170116,10.343218967343216,38.51457392507248,0,0.622385561466217,0.5,
58,491, quality, clothing,37.200061584232515,8.335830022956788,38.51457392507248,0,0.4680928587913513,0.125,
59,492, clothing,",",46.239654840018446,13.589815248579331,38.51457392507248,0,0.5377941727638245,0.5,
60,493,",", often,49.111764561122186,16.64074877997335,38.51457392507248,0,0.3587924838066101,0.625,
61,494, often, with,49.893291565362716,17.463341251940314,38.51457392507248,0,0.7613709568977356,2.0,
62,495, with, gold,31.493475656560733,6.641460359454523,38.51457392507248,0,0.8142901062965393,2.125,
63,496, gold, and,47.70989515946889,16.302114398973064,38.51457392507248,0,0.8452738523483276,1.75,
64,497, and, silver,46.27204721875299,15.99740083406656,38.51457392507248,0,0.9031886458396912,2.375,
65,498, silver, thread,52.109314466067005,19.652640684296124,38.51457392507248,0,0.575180172920227,0.375,
66,499, thread, embroidery,35.59013709511618,8.97008317712967,38.51457392507248,0,0.9101527333259583,2.625,
67,500, embroidery,.,39.025145117417026,11.720850167307262,38.51457392507248,0,0.5614362359046936,0.625,
68,501,., The,82.1587706494494,46.20106541840942,38.51457392507248,1,0.3818080723285675,0.125,
69,502, The, In,56.731123443671166,25.1917452883693,46.86084214693403,0,0.4728001058101654,0.25,
70,503, In,ca,66.76507301146484,34.82027167596803,46.86084214693403,0,0.9999656677246094,10.375,
71,504,ca, Emperor,68.63030426760452,35.75375190798769,37.66547011157838,0,0.7390137910842896,2.5,
72,505, Emperor, wore,41.19596205073155,12.488780891563158,38.365580285593126,0,0.5029523968696594,1.125,
73,506, wore, each,47.31912651081393,17.154215780398424,38.365580285593126,0,0.35963931679725647,0.625,
74,507, each, cloth,44.61798190426086,15.206524952506292,38.365580285593126,0,0.9716301560401917,3.875,
75,508, cloth, only,47.72675811814548,17.67472165893576,38.365580285593126,0,0.802314281463623,1.875,
76,509, only, once,43.10614035558356,14.44600670382205,38.365580285593126,0,0.999992311000824,12.25,
77,510, once, before,43.21848522597371,16.089593719068233,38.365580285593126,0,0.46669235825538635,0.5,
78,511, before, it,50.43727343392986,20.858976727351543,38.365580285593126,0,0.6090660095214844,0.5,
79,512, it, was,44.50189909716723,15.529416714320341,38.365580285593126,0,0.9999847412109375,11.625,
80,513, was, burnt,38.445049990170375,11.678671215950539,38.365580285593126,0,0.8517311811447144,1.75,
81,514, burnt,",",59.90306683716443,27.649226413110625,38.365580285593126,0,0.6130461692810059,0.5,
82,515,",", and,65.11747801081705,32.043134311559655,38.365580285593126,0,0.7333577871322632,1.875,
83,516, and, the,49.182251782008336,17.90571993799641,38.365580285593126,0,0.22416973114013672,0.0,
