step,query_position,query,token,shift,revisit,threshold,event,top1_probability,top2_margin,logit_entropy
0,534,"

",Based,,,,0,0.44672805070877075,0.125,
1,535,Based, on,61.95267975181682,,,0,0.9998664855957031,9.125,
2,536, on, the,44.43311409686771,11.68419959806791,,0,0.9448506832122803,3.125,
3,537, the, given,39.09303269631901,10.248338084388116,11.68419959806791,0,0.7671302556991577,1.875,
4,538, given, passages,36.94928037081572,11.481673116808388,11.61240652238392,0,0.9998645186424255,9.375,
5,539, passages,",",52.894783993133444,23.660475214144512,11.663946949941957,0,0.9876994490623474,4.625,
6,540,",", here,51.45742512823182,22.989053670151556,21.864033871733017,0,0.6670883297920227,1.125,
7,541, here,'s,51.98191041075849,21.631047259759594,23.52619090534592,0,0.599045991897583,0.75,
8,542,'s, a,35.76924297554812,10.729111730004636,23.492619828146275,0,0.7415539026260376,1.125,
9,543, a, brief,42.88958255305349,15.732459409458004,23.459048750946625,0,0.8414261937141418,2.125,
10,544, brief, answer,40.8288493901641,14.317058470510988,23.425477673746975,0,0.8103252649307251,1.75,
11,545, answer, on,47.82169156165791,20.3516179237345,23.39190659654733,0,0.9050459265708923,2.625,
12,546, on, how,47.87986570843713,19.363701021435062,23.35833551934768,0,0.9999618530273438,10.75,
13,547, how, to,37.652021067492115,10.959638431599839,23.324764442148034,0,1.0,20.125,
14,548, to, cook,36.11412754010592,11.20460594503609,23.291193364948384,0,1.0,14.25,
15,549, cook, br,39.52444567073857,13.86673379682919,23.257622287748738,0,0.9683149456977844,3.5,
16,550, br,ats,49.79796788607139,21.707908247248245,23.22405121054909,0,1.0,15.375,
17,551,ats,":

",86.54913513096642,54.9767686972855,23.190480133349443,1,0.9676058888435364,3.5,
18,552,":

",1,87.35045745087962,54.989086593578946,31.489548584929757,0,0.8744142055511475,2.75,
19,553,1,.,68.38277635847427,37.756014921430946,54.97984817135886,0,0.9998569488525391,10.5625,
20,554,., Pr,59.06323386272422,28.596756258868712,54.97984817135886,0,0.631048321723938,0.75,
21,555, Pr,ick,64.1560048620255,32.046199844025594,54.97984817135886,0,0.9999886155128479,11.75,
