step,query_step,query_position,query,token,shift,revisit,threshold,active,event,top1_probability,top2_margin,logit_entropy
0,-1,534,"

",Based,,,,0,0,0.44672805,0.125,1.8990703
1,0,535,Based, on,32.494779818570194,,,0,0,0.9998665,9.125,0.0020160596
2,1,536, on, the,24.385339953248195,0.18774032966990611,,0,0,0.9448507,3.125,0.36944482
3,2,537, the, given,30.57203917957761,0.9995149685832514,0.18774032966990611,0,0,0.76713026,1.875,1.0813568
4,3,538, given, passages,29.894874571898647,0.9787130452788699,0.9589262366375841,0,0,0.9998645,9.375,0.0021745486
5,4,539, passages,",",47.84422786806016,2.464340227141852,0.9974347762528133,0,0,0.98769945,4.625,0.11050333
6,5,540,",", here,46.61664558694986,2.905035257056354,2.2446164383580616,0,0,0.6670883,1.125,1.5389515
7,6,541, here,'s,42.256531020183324,1.3992355882616967,2.8168962510734534,0,0,0.599046,0.75,1.3223963
8,7,542,'s, how,26.008379144201903,0.6120734109473107,2.7948614995777286,0,0,0.7415539,1.125,0.9201787
9,8,543, how, to,46.403874437751654,2.823921288874961,2.772826748082003,0,0,0.99997705,10.625,0.00040823297
10,9,544, to, cook,40.251959696762725,2.20808098713735,2.8766453681928663,0,0,0.9997806,8.5,0.00314532
11,10,545, cook, br,44.69316175823483,3.149445121251861,2.872589669783797,0,0,0.96367,3.375,0.24305394
12,11,546, br,ats,43.87378485908393,2.0043044596476833,3.0394606823638823,0,0,1.0,15.375,1.2803481e-05
13,12,547,ats,":

",54.7693059526377,3.952064876163497,3.0272401891541074,0,0,0.8862534,2.25,0.61349064
14,13,548,":

",1,65.32873654327143,6.484988051219343,3.5106240109620965,0,0,0.9330203,3.25,0.508374
15,14,549,1,.,47.21166792141864,3.286882481166413,4.965234146185832,0,0,0.9999084,11.0625,0.0018189666
16,15,550,., Pre,50.01242822920679,4.858324244872673,4.838587987433042,0,0,0.63110965,0.875,1.6830423
17,16,551, Pre,heat,34.57559274992342,2.380725956718836,5.346323386776672,0,0,0.9997367,9.375,0.004361102
18,17,552,heat, an,35.99615474630214,2.811144126265966,5.26499019645934,0,0,0.89119637,2.375,0.5958449
19,18,553, an, outdoor,32.77059645548683,2.5836516459131063,5.26499019645934,0,0,0.9998513,9.75,0.0024604867
20,19,554, outdoor, grill,31.52316311786821,2.223766681090869,5.26499019645934,0,0,0.9999809,11.0,0.00033439396
21,20,555, grill, for,29.402964159619422,1.4466314736079733,5.26499019645934,0,0,0.9894172,5.25,0.09671054
22,21,556, for, medium,31.973041417153553,1.736062107227117,5.26499019645934,0,0,0.9999809,11.875,0.0003761845
23,22,557, medium,-high,33.57265515955767,1.7345300765997471,5.26499019645934,0,0,0.99708027,6.375,0.034009952
24,23,558,-high, heat,25.802023305563004,1.2442760004338047,5.26499019645934,0,0,0.99983215,8.875,0.0024886709
25,24,559, heat,.,32.70295495968505,2.4734816694506243,5.26499019645934,0,0,0.4071751,0.375,1.9831792
26,25,560,., Light,31.080306566858685,2.5209800705290313,5.26499019645934,0,0,0.7496471,1.25,1.0599862
27,26,561, Light,ly,40.586983518004814,4.405881658488189,5.26499019645934,0,0,0.9999923,12.5,0.00016989784
28,27,562,ly, oil,27.525385685613465,2.4677642601692007,5.26499019645934,0,0,1.0,15.5,1.7073427e-05
29,28,563, oil, the,26.69595478619554,1.9949267362678316,5.26499019645934,0,0,0.99614507,5.625,0.038551684
30,29,564, the, grate,25.49844070503501,1.6100469114748424,5.26499019645934,0,0,0.96226853,3.25,0.2358759
31,30,565, grate,".
",37.5945277873621,3.913888288886176,4.518992305084311,0,0,0.9870911,4.5,0.11147437
32,31,566,".
",2,54.696538016688365,7.206875871125177,4.518992305084311,1,1,0.9732197,3.75,0.20734568
33,32,567,2,.,42.4237842994823,5.713911232358423,5.106130211647436,1,0,0.9999142,10.375,0.0016367147
34,33,568,., If,43.21808057295432,6.205842555847701,6.087152392050111,1,0,0.25104,0.5,3.4034905
35,34,569, If, you,43.03354434321348,6.458871883510255,6.4561008846670696,1,0,0.40364832,0.25,2.368188
36,35,570, you, want,26.07825771364412,1.3106840892579366,6.645872880413986,0,0,0.5960429,1.25,1.7753731
37,36,571, want, to,33.1180258745046,2.875188962292814,6.645872880413986,0,0,0.9667408,3.75,0.24722745
38,37,572, to, cook,28.91441698297821,2.5783267301818555,6.645872880413986,0,0,0.9002494,3.125,0.71986747
39,38,573, cook, the,33.105220347229874,3.276510461776535,6.645872880413986,0,0,0.30261806,0.125,2.4126146
40,39,574, the, br,29.310223752856928,2.6291475739936305,6.645872880413986,0,0,0.48843217,0.0,1.1534547
41,40,575, br,ats,43.08535028368904,6.10604271146044,6.645872880413986,0,0,0.9999714,12.25,0.0006012334
42,41,576,ats, in,42.76644999182242,5.29582656915005,6.645872880413986,0,0,0.87793034,2.75,0.8604777
43,42,577, in, a,33.61387165128496,3.34700189274132,6.645872880413986,0,0,0.80929035,1.875,0.9291035
44,43,578, a, pot,23.719702583598067,1.2576458033987983,6.645872880413986,0,0,0.92312694,3.0,0.53522944
45,44,579, pot, first,36.88186555383266,2.7708653604379254,6.645872880413986,0,0,0.6766209,1.0,1.3359455
46,45,580, first,",",28.64993578806036,1.8736273573442235,6.645872880413986,0,0,0.9297959,3.375,0.47593108
47,46,581,",", prick,42.009029891501925,5.363206406861541,6.645872880413986,0,0,0.52350575,0.375,1.6448506
48,47,582, prick, them,52.54573406253016,7.943538570855653,6.645872880413986,1,1,0.9517964,3.0,0.28599873
49,48,583, them, with,34.1826784823485,3.5931815911807083,6.830038555346604,0,0,0.99152935,4.875,0.075597145
50,49,584, with, a,29.22668655352235,2.4427583997340423,6.830038555346604,0,0,0.9999695,10.5,0.00049298065
51,50,585, a, fork,27.056959043381738,2.1406837344299032,6.830038555346604,0,0,0.99998474,11.0,0.0002973925
52,51,586, fork,",",39.64106142575724,5.221970316560011,6.565416676309243,0,0,0.33206627,0.0,1.6210414
53,52,587,",", combine,34.710026628744885,4.117416994508533,6.565416676309243,0,0,0.36521575,0.375,2.1784248
54,53,588, combine, them,44.64889279801047,6.372558702979009,6.565416676309243,0,0,0.6811699,1.25,1.4148928
55,54,589, them, with,35.76186211694527,4.574479256322984,6.76530366994817,0,0,0.93279785,2.75,0.39707172
56,55,590, with, onions,41.19265457150412,4.938216616562246,6.76530366994817,0,0,0.86137515,2.0,0.70172465
57,56,591, onions,",",38.467013845130616,2.855349575280259,6.76530366994817,0,0,0.99817824,6.5,0.020577598
58,57,592,",", butter,32.970996688221284,2.7688293364850733,6.76530366994817,0,0,0.9945484,5.25,0.05117101
59,58,593, butter,",",37.05804360425496,3.3835485844659505,6.76530366994817,0,0,0.9996529,8.25,0.004778793
60,59,594,",", and,29.33843675426948,1.9598795652521488,6.76530366994817,0,0,0.9991783,7.125,0.0097908275
61,60,595, and, beer,26.0465454291316,2.0399012076534353,6.76530366994817,0,0,0.9999752,11.125,0.0004902128
62,61,596, beer, in,36.486024410945994,4.2865371162534185,6.76530366994817,0,0,0.9209937,2.5,0.42140862
63,62,597, in, a,33.766836737831476,2.626023562238428,6.76530366994817,0,0,0.99971396,8.25,0.003929899
64,63,598, a, large,25.18300390150731,1.3200170692063637,6.76530366994817,0,0,0.93314487,2.75,0.38796273
65,64,599, large, pot,24.248362348495075,1.559324070293356,5.509617413164761,0,0,0.92404306,2.5,0.3893019
66,65,600, pot,",",34.09111109889977,3.884182527061713,5.509617413164761,0,0,0.6941372,0.875,1.0112016
67,66,601,",", and,31.384512259952217,2.99976720437124,5.509617413164761,0,0,0.9775377,4.125,0.18704702
68,67,602, and, simmer,24.19830687189039,2.097115539027223,5.509617413164761,0,0,0.99390936,5.5,0.063114636
69,68,603, simmer, over,37.50497629670096,4.5354205191286745,5.296802138166437,0,0,0.63677454,0.625,1.0713583
70,69,604, over, medium,33.73138306734066,3.1116609557707116,5.296802138166437,0,0,0.9999886,11.375,0.0002165196
71,70,605, medium, heat,26.98187361250645,1.6357567065121668,4.6654135963828,0,0,0.9999809,11.75,0.00035217387
72,71,606, heat, for,30.423902921463768,3.251944303770763,4.636119543487068,0,0,0.99967194,8.25,0.004618237
73,72,607, for, ,31.38007678637637,3.233150793983569,4.348757966972233,0,0,0.99997705,10.875,0.00039239202
74,73,608, ,15,47.86507677317972,5.128821314557731,4.348757966972233,1,1,0.9963275,5.625,0.03577923
75,74,609,15, to,41.70732794717898,4.8793931240970725,4.683770717985938,1,0,0.88079506,2.0,0.5271475
76,75,610, to, ,57.485302243257216,10.115700474366264,4.941750171712237,1,0,0.9999962,12.875,0.000115901676
77,76,611, ,20,49.59728914619771,6.6971519445797005,6.375541104509864,1,0,0.9999809,11.75,0.00036880292
78,77,612,20, minutes,40.493797698139545,5.401523087026183,7.551789077026341,0,0,1.0,16.25,4.760368e-06
79,78,613, minutes,".
",35.411026804757995,4.074081784320753,7.551789077026341,0,0,0.9485523,3.0,0.32161632
80,79,614,".
",3,51.198528524548685,6.5153552146366405,7.551789077026341,0,0,0.997358,6.125,0.029670168
81,80,615,3,.,42.12992675798479,6.189880126154893,7.551789077026341,0,0,0.99991035,9.75,0.0016342422
82,81,616,., Alternatively,46.51191370935238,6.388122770061329,7.551789077026341,0,0,0.34254706,0.5,2.9395502
83,82,617, Alternatively,",",51.96055727941844,7.047605677883444,7.551789077026341,0,0,0.9986772,6.75,0.015371472
84,83,618,",", cook,51.759376191338106,6.997344835957128,7.814629377004149,0,0,0.71768934,1.25,1.2955194
85,84,619, cook, the,35.71930435734869,3.3407494309650048,7.814629377004149,0,0,0.97265565,4.25,0.22646903
86,85,620, the, br,31.245120562252485,2.9991729820335866,7.814629377004149,0,0,0.8506353,1.75,0.62787807
87,86,621, br,ats,54.52319159047005,11.479602016129242,7.814629377004149,1,1,0.999958,10.5,0.0007897854
88,87,622,ats, directly,53.78269549495093,9.690902410013539,10.456675859807008,0,0,0.77459055,1.25,0.8051874
89,88,623, directly, on,35.83810114690568,3.124580327973882,10.456675859807008,0,0,0.999531,7.875,0.0062300814
90,89,624, on, the,29.060597873976242,1.7015886781201583,10.456675859807008,0,0,0.9997597,8.375,0.0032949713
91,90,625, the, pre,28.279252740531913,1.581077620014363,10.456675859807008,0,0,0.83534163,1.625,0.647824
92,91,626, pre,he,45.31479988554992,5.709197273365817,10.456675859807008,0,0,0.9999923,12.25,0.00013226912
93,92,627,he,ated,58.16727953323241,6.336369491041896,10.138077311542464,0,0,0.9999923,12.5,0.00013791093
94,93,628,ated, grill,61.427539474159595,7.788334914307402,10.138077311542464,0,0,0.9999962,13.25,5.8556507e-05
95,94,629, grill, for,43.332613092239924,5.352263195762303,10.138077311542464,0,0,0.58289444,0.5,1.3217087
96,95,630, for, ,33.99267342580747,2.464150793499726,10.138077311542464,0,0,0.9995653,8.125,0.0063063893
97,96,631, ,10,52.78003150517388,5.8610497773470644,10.138077311542464,0,0,0.85173607,1.75,0.6092489
98,97,632,10, to,39.6713913313684,2.695323683064078,10.138077311542464,0,0,0.9796337,3.875,0.14388916
99,98,633, to, ,59.169958447725314,9.867127121178305,10.138077311542464,0,0,0.99996567,11.0,0.0006475707
100,99,634, ,14,57.650202626928944,8.122258624228433,10.270245844916039,0,0,0.99266475,5.875,0.079258986
101,100,635,14, minutes,42.36239251924157,3.8711948795473092,10.270245844916039,0,0,0.9999409,9.875,0.0009946008
102,101,636, minutes,",",34.38499388637189,2.614858064329703,10.270245844916039,0,0,0.97478026,3.875,0.20089388
103,102,637,",", turning,30.268927743939095,2.2526267137511686,10.270245844916039,0,0,0.9837606,4.125,0.12346097
104,103,638, turning, occasionally,43.26784172607955,4.147803831485076,9.73495858780473,0,0,0.9965176,5.75,0.03568501
105,104,639, occasionally, to,30.190047916055967,1.2545181519119946,8.5584757484659,0,0,0.8959292,2.375,0.5843747
106,105,640, to, brown,30.919964685228905,1.3152324418993233,8.5584757484659,0,0,0.999836,9.625,0.0026721086
107,106,641, brown, evenly,30.20694422891057,1.5193524399919602,8.5584757484659,0,0,0.98752624,4.375,0.09732753
108,107,642, evenly,".
",48.41858596987392,5.748654514921657,8.5584757484659,0,0,0.85175884,2.5,0.8520543
109,108,643,".
",4,48.60460176294493,5.889201998805413,8.5584757484659,0,0,0.9944195,5.625,0.06331294
110,109,644,4,.,46.07063490896726,5.639120301122951,8.5584757484659,0,0,0.99984556,9.75,0.0029249098
111,110,645,., If,41.265629348072025,4.42219363395585,8.5584757484659,0,0,0.34542203,0.625,3.1956291
112,111,646, If, cooking,63.12625477669937,15.35907890044523,8.5584757484659,1,1,0.5479987,0.25,1.2030045
